rank,Original_symbol,Filtered_symbol,Group_Mode_symbol
1,TELB3,TELB3,KLBN4
2,TELB4,TELB4,FESA4
3,KEPL3,KEPL3,USIM3
4,EMAE4,MGEL4,GOAU3
5,MGEL4,EMAE4,USIM5
6,BOBR4,BOBR4,CSNA3
7,BAZA3,BAZA3,GOAU4
8,BEES3,BEES3,GGBR3
9,CGAS5,CGAS5,GGBR4
10,CTNM4,CTNM4,BRAP3
11,ETER3,ETER3,BRAP4
12,COCE5,COCE5,VALE3
13,ROMI3,SCAR3,SCAR3
14,SHUL4,BRKM3,TELB3
15,SCAR3,ITSA3,TELB4
16,ITSA3,SAPR4,BEES3
17,FESA4,PSSA3,CCRO3
18,ALPA4,EMBR3,CYRE3
19,GRND3,UNIP6,BAZA3
20,SAPR4,TRPL4,PSSA3
21,PSSA3,KLBN4,PETR4
22,BRKM3,FESA4,PETR3
23,BRKM5,BRKM5,ITSA3
24,KLBN4,BRAP3,BBAS3
25,UNIP6,USIM3,ITSA4
26,TRPL4,CSNA3,BBDC3
27,EMBR3,BRAP4,BBDC4
28,BRAP3,VALE3,EMBR3
29,BRAP4,GOAU3,KEPL3
30,VALE3,USIM5,MGEL4
31,GOAU3,GGBR3,UNIP6
32,GGBR3,GGBR4,CGAS5
33,GGBR4,GOAU4,BOBR4
34,GOAU4,POMO4,BRKM3
35,CSNA3,SBSP3,EMAE4
36,USIM3,CPLE3,ETER3
37,USIM5,CPFE3,ROMI3
38,PETR3,CMIG3,SHUL4
39,PETR4,ELET3,POMO4
40,BBAS3,ELET6,CTNM4
41,ITSA4,CMIG4,RAPT4
42,BBDC3,CPLE6,RENT3
43,BBDC4,RENT3,LREN3
44,SBSP3,LREN3,GRND3
45,ELET3,RAPT4,ALPA4
46,ELET6,CCRO3,GUAR3
47,CPFE3,CYRE3,BRKM5
48,CMIG3,PETR4,COCE5
49,CMIG4,PETR3,SBSP3
50,CPLE3,BBAS3,TRPL4
51,CPLE6,ITSA4,SAPR4
52,POMO4,BBDC3,CPFE3
53,RAPT4,BBDC4,ELET3
54,GUAR3,SHUL4,ELET6
55,CCRO3,ROMI3,CPLE3
56,RENT3,GRND3,CPLE6
57,CYRE3,ALPA4,CMIG3
58,LREN3,GUAR3,CMIG4
