"symbol","company_name","tipo_mercado","cod_bdi","specification","first_date","last_date","n_days","avg_financial_volume"
"PETR4","PETROBRAS","010","02","PN","1998-03-16","2025-12-30",6838,748331124.81
"VALE3","VALE R DOCE","010","02","ON      N1","1998-03-16","2025-12-30",6858,556465884.36
"BBDC4","BRADESCO","010","02","PN  EJ  N1","1998-03-16","2025-12-30",6887,298053005.44
"BBAS3","BRASIL","010","02","ON","1998-03-16","2025-12-30",6868,219435495.03
"PETR3","PETROBRAS","010","02","ON","1998-03-16","2025-12-30",6834,197975329.93
"RENT3","LOCALIZA","010","02","ON      NM","2005-05-23","2025-12-30",5107,142922352.82
"LREN3","LOJAS RENNER","010","02","ON *","1998-06-09","2025-12-30",5093,139808769.13
"GGBR4","GERDAU","010","02","PN  EDJ N1","2001-02-01","2025-12-30",6175,136469956.55
"ITSA4","ITAUSA","010","02","PN  EJ  N1","1998-03-16","2025-12-30",6886,124357041.51
"USIM5","USIMINAS","010","02","PNA","1999-02-02","2025-12-30",6670,95268904.34
"CSNA3","SID NACIONAL","010","02","ON","1998-03-16","2025-12-30",6883,90736900.94
"ELET3","ELETROBRAS","010","02","ON *","1998-03-16","2025-11-07",6821,88426517.23
"CYRE3","BRAZIL REALT","010","02","ON","2005-07-01","2025-12-30",5065,71976864.43
"SBSP3","SABESP","010","02","ON *    NM","1998-03-16","2025-12-30",6887,69491940.85
"CCRO3","CCR RODOVIAS","010","02","ON      NM","2002-02-01","2025-04-30",5666,67439012.56
"CMIG4","CEMIG","010","02","PN *    N1","1998-03-16","2025-12-30",6886,66468940.68
"EMBR3","EMBRAER","010","02","ON  EJ","1998-06-22","2025-10-31",6693,65580414.15
"BRAP4","BRADESPAR","010","02","PN *    N1","2000-08-10","2025-12-30",6292,48918885.53
"BRKM5","BRASKEM","010","02","PNA*    N1","2002-09-02","2025-12-30",5750,48330993.33
"GOAU4","GERDAU MET","010","02","PN  EDJ N1","1998-03-16","2025-12-30",6886,44086774.07
"BBDC3","BRADESCO","010","02","ON  EJ  N1","1998-03-16","2025-12-30",6886,42507481.84
"ELET6","ELETROBRAS","010","02","PNB*","1998-03-16","2025-11-07",6820,41590732.91
"CPLE6","COPEL","010","02","PNB*","1998-03-16","2025-11-07",6853,37835476.39
"CPFE3","CPFL ENERGIA","010","02","ON      NM","2004-09-29","2025-12-30",5265,37321251.26
"PSSA3","PORTO SEGURO","010","02","ON      NM","2004-11-22","2025-12-30",5230,28037804.81
"TRPL4","TRAN PAULIST","010","02","PN *    N1","1999-07-26","2024-11-14",6275,18430722.33
"ALPA4","ALPARGATAS","010","02","PN *    N1","1998-03-16","2025-12-30",6283,17512923.43
"POMO4","MARCOPOLO","010","02","PN      N2","2001-12-03","2025-12-30",5953,16069081.36
"RAPT4","RANDON PART","010","02","PN  EJ  N1","2001-06-26","2025-12-30",6006,12996066.19
"CPLE3","COPEL","010","02","ON *","1998-03-16","2025-12-30",6788,8383500.21
"TELB4","TELEBRAS","010","02","PN *","1998-03-16","2025-12-30",6853,8105104.9
"KLBN4","KLABIN S/A","010","02","PN      N1","2002-01-02","2025-12-30",5950,8046600.2
"GRND3","GRENDENE","010","02","ON      NM","2004-10-29","2025-12-30",5244,7131655
"USIM3","USIMINAS","010","02","ON","1998-03-25","2025-12-30",6006,7104637.5
"GUAR3","GUARARAPES","010","02","ON","2001-12-04","2025-12-30",5560,6265159.81
"SAPR4","SANEPAR","010","02","PN","2002-05-03","2025-12-30",5779,5701940.04
"UNIP6","UNIPAR","010","02","PNB","1998-03-16","2025-12-30",6880,5338612.3
"KEPL3","KEPLER WEBER","010","02","ON","2002-09-09","2025-12-30",5198,4782770.83
"CMIG3","CEMIG","010","02","ON *    N1","1998-03-16","2025-12-30",6881,4587511.94
"FESA4","FERBASA","010","02","PN *","1998-03-23","2025-12-30",6432,3476343.32
"ROMI3","INDS ROMI","010","02","ON *","1998-03-16","2025-12-30",5313,3174166.56
"ITSA3","ITAUSA","010","02","ON      N1","1998-03-17","2025-12-30",5711,2552426.93
"GGBR3","GERDAU","010","02","ON  EDJ N1","2001-02-05","2025-12-30",5683,2508850.1
"CGAS5","COMGAS","010","02","PNA*","2001-06-04","2025-12-30",6016,2372291.65
"COCE5","COELCE","010","02","PNA*","1998-03-16","2025-12-30",6726,1231495.97
"SHUL4","SCHULZ","010","02","PN *","1998-03-19","2025-12-30",5042,1013452.39
"BRAP3","BRADESPAR","010","02","ON *    N1","2000-08-10","2025-12-30",6211,989896
"ETER3","ETERNIT","010","02","ON","1998-03-16","2025-12-30",5117,948659.63
"SCAR3","SAO CARLOS","010","02","ON *","1999-09-20","2025-12-30",5450,726320.7
"TELB3","TELEBRAS","010","02","ON *","1998-03-16","2025-12-30",5387,719947.92
"CTNM4","COTEMINAS","010","02","PN *","1998-03-16","2024-05-08",5983,605199.8
"GOAU3","GERDAU MET","010","02","ON  EDJ N1","1998-03-17","2025-12-30",5853,579479.78
"BEES3","BANESTES","010","02","ON","1998-03-23","2025-12-30",5149,374265.24
"BOBR4","BOMBRIL","010","02","PN *","1998-03-16","2025-02-11",5948,371010.99
"BRKM3","BRASKEM","010","02","ON *    N1","2002-11-28","2025-12-30",5022,305696.16
"BAZA3","AMAZONIA","010","02","ON *","1998-03-16","2025-12-30",5898,219371.53
"EMAE4","EMAE","010","02","PN *","1998-03-31","2025-12-30",6174,181639.52
"MGEL4","MANGELS INDL","010","02","PN  EG  N1","1998-03-17","2025-12-30",5040,106242.02
