,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,1.0,0.14233478019468304,0.2468024956422576,0.28875698135522154,0.29944597835626,0.10180434656553505,0.11553364808860045,0.18222395530993915,0.2175640856889273,0.17697518091558773,0.23736541782294876,0.29666092613679096,0.17514794408324819,0.21872629913797706,0.23418668385813443,0.13524429028638493,0.26439775378737596,0.2391515185936432,0.22885306000402764,0.2254546015007007,0.10711294822851483,0.3860210843545709,0.24454424016562631,0.23723058630655283,0.11350522954621226,0.18346609463633665,0.21551338262259295,0.15431683383508185,0.22524857049785882,0.25441020960644467,0.2371393367902487,0.24220012617300957,0.3160622565423269,0.3444684868709638,0.20354575716786547,0.29640415438097206,0.12126501080632057,0.2021573758563222,0.32961503135086173,0.0908769021724231,0.24868078562780557,0.2697450567463944,0.24230963081075763,0.234335400001421,0.2481294789741555,0.3567539506160282,0.22693341178579132,0.21107746030196528,0.2609695674729666,0.13774180666807342,0.15831648881392504,0.03972483548918172,0.05750713362114845,0.1741583457855795,0.19601453584433756,0.2061721504642157,0.2374649080597886,0.17286200194445017
BAZA3,0.14233478019468304,1.0,0.18906102386825677,0.1818053154279127,0.20636282684584392,0.17923940867102287,0.09815564343912589,0.16625086191438707,0.17262639472584723,0.11466624609095902,0.13633998922072046,0.13291242250112956,0.1069382267552575,0.15302123700769937,0.177731361577487,0.11492114168877038,0.16876535492687625,0.18136224935540593,0.18131346937804127,0.15387707736306205,0.08684004256786201,0.17155996358553022,0.15899194144852907,0.1729262590299117,0.06197240750982309,0.07307561136885589,0.11232111763490513,0.13112785434342525,0.14732214962541024,0.1545859055543673,0.16613645197520935,0.1625055592401158,0.1268532515696681,0.12177568911051417,0.10773138448477261,0.20994536151023788,0.09435394769308511,0.1084742332507359,0.1472586940484278,0.08681994382038331,0.2008029652269306,0.20624320030921797,0.14402670339914814,0.14068959229318184,0.11188130535024877,0.1578913401032416,0.08157342061140883,0.1512492759276479,0.17405854009371288,0.09281683512735901,0.07187369432993809,0.04143226260713304,0.030664923094968793,0.13549006110486742,0.14884493537701626,0.14223902198083127,0.15456529294987084,0.15483174438687
BBAS3,0.2468024956422576,0.18906102386825677,1.0,0.5698671382607154,0.600041840050284,0.12537600015188563,0.1834588203724079,0.35158330763930834,0.4250889511475895,0.18381037849385726,0.3412821651824359,0.405491251565481,0.2760024034924102,0.4297934121908564,0.46552746987499793,0.23002166017214323,0.4095296961013066,0.39274416907295256,0.4487180277471696,0.41718118427263196,0.15539321696396755,0.5190451243861973,0.4526553760922096,0.45054577331430007,0.1956116229407427,0.1965890972485702,0.1998869604950158,0.24210157077782793,0.40041857467702796,0.44688933678620657,0.3694335814225654,0.4291973668771243,0.30135408224029914,0.2759110276852439,0.3679140891279779,0.6120801788325434,0.1461466455997855,0.3271186176011018,0.38071827159015426,0.12845317631874292,0.4816031839194403,0.5119817363173645,0.32571508376715447,0.3740117527208589,0.34792469878922605,0.4378887334947246,0.18144125948981146,0.28293516587326856,0.4315238145353733,0.17581285647730463,0.14250493120159322,0.050795921532493064,0.07700733666089422,0.3354030142121521,0.2753349393746108,0.3055032592696433,0.44139322407908566,0.3471167595461181
BBDC3,0.28875698135522154,0.1818053154279127,0.5698671382607154,1.0,0.8657715919032228,0.13827491540018436,0.17859662163242046,0.3529466632652037,0.41672013120138507,0.22913946681399533,0.37816192832736534,0.4304186882336734,0.25079816486981193,0.41638003172336446,0.46852318606928933,0.21298656720500508,0.4378134982542286,0.3964150280116025,0.46528091429270513,0.42956246151139105,0.16232937104804732,0.5124423562017019,0.45830658516138767,0.4515117317565787,0.18289092947525806,0.2204579851215203,0.2199044295409533,0.23519889210051584,0.40766414453301725,0.4697376191352667,0.3650301253308366,0.4306580901233836,0.3215661932030784,0.3143142169879495,0.3972746110169052,0.6967909376463122,0.13455848939529605,0.31536519374820543,0.39089768792244417,0.12884678271697603,0.4857036761144009,0.4959446400574732,0.3451913684599372,0.37836151779703353,0.33744337841763605,0.4762541159468097,0.19722220464531806,0.29241717531464023,0.45780584493777454,0.14702945531536588,0.16762257817141854,0.08038594102160893,0.07893710285616284,0.3150812356029996,0.2811551903072632,0.3160936819097816,0.4157601669435155,0.3668840164261562
BBDC4,0.29944597835626,0.20636282684584392,0.600041840050284,0.8657715919032228,1.0,0.1555899545460257,0.18513200246071568,0.3842645479789582,0.44282760039572655,0.2277187093149862,0.3859246715930798,0.423906670051683,0.26347003941447705,0.4356624871687876,0.5049515085925836,0.2364603025205026,0.44789293576546424,0.41290588162627045,0.49368582749278545,0.44754949013024203,0.1762284160875497,0.5350029513776717,0.48296735015852627,0.4814316810014811,0.19945867827813124,0.22805626904775927,0.2237057392800301,0.23904661011477185,0.41981996900529717,0.49172542580660217,0.37031745207561806,0.4573322484354539,0.3276387331427557,0.3175249654655514,0.4013660651245614,0.7476787031426108,0.1390635929220282,0.3389558415792759,0.405491787077898,0.1293828915191554,0.5226093124396632,0.5360123525823579,0.3421834318070913,0.38128661661227,0.3597386401948394,0.48144655003332854,0.2047030916404858,0.2854154403755381,0.4728331687100122,0.14857253114818,0.1741686315770761,0.08505846193640339,0.09571093849047863,0.34148992859507044,0.3092738962188766,0.335323000722595,0.44063911435349623,0.3863975580076623
BEES3,0.10180434656553505,0.17923940867102287,0.12537600015188563,0.13827491540018436,0.1555899545460257,1.0,0.049245054413568495,0.14985861549430957,0.1566740840692651,0.09294132516916295,0.1262228081173507,0.11784789780145566,0.10244856001630945,0.11704279154368648,0.12023725649141143,0.04618881204502501,0.16039349036746198,0.1270957631737071,0.1356355378032529,0.11094748538088078,0.058140034273163235,0.15251931290106482,0.12089173423693877,0.12428358620576166,0.04682775055120923,0.09353856767230205,0.0986998643437432,0.11685352674358068,0.16263754851826118,0.15837256125324206,0.12763082995910296,0.12748276230319633,0.10807904874338388,0.0886335282861865,0.16195723348586577,0.15768273364929883,0.07424972478261647,0.1296313723404409,0.16375587082236984,0.04327056150131693,0.12283330002888473,0.12367362609242531,0.10672373685210879,0.1319084720576074,0.1191141706258574,0.15068568099370416,0.10203737102093915,0.0981967245436088,0.11931727568688713,0.09737316466941567,0.06856821938044995,0.044297829579039376,0.022158776014265625,0.10727875393520132,0.08324112363106033,0.12697377834190804,0.13103567803954286,0.12762346646507192
BOBR4,0.11553364808860045,0.09815564343912589,0.1834588203724079,0.17859662163242046,0.18513200246071568,0.049245054413568495,1.0,0.13838795033027187,0.12983199602495127,0.09474518721582621,0.1384434094755964,0.13741088836397308,0.1315293709883995,0.15522974218906774,0.17221323028776178,0.10283507994981371,0.1342033856786916,0.156521797911391,0.1557240047934088,0.14877153406103538,0.10327903651123527,0.16747046320378295,0.16679177024423933,0.1630262708647739,0.08366383548992298,0.10158775398150122,0.10944340240446472,0.10425789015102645,0.14009074688424183,0.16595700170387215,0.15347855234384997,0.17628610158259223,0.10379800505247466,0.13462586233021495,0.1328071761515657,0.18734430383897668,0.0698091915551362,0.11766454616612121,0.11682844501198311,0.07163452218133308,0.18215975745903223,0.18973486533204842,0.1591632661096558,0.10071398886324487,0.1546527361771428,0.1713062477437349,0.09803869977092781,0.15211524621192304,0.15702538790052628,0.055123649458824024,0.0876880009264537,0.01200720562750863,0.022855965651774356,0.11460282858372584,0.12355005838774222,0.11609415228809329,0.17704669525585934,0.13288075015922327
BRAP3,0.18222395530993915,0.16625086191438707,0.35158330763930834,0.3529466632652037,0.3842645479789582,0.14985861549430957,0.13838795033027187,1.0,0.7496967088587942,0.19599864175450107,0.29845004307783546,0.2308174718913873,0.21657795865994384,0.3052929063047364,0.3063315106487673,0.16749752729942918,0.2721028045589832,0.26695629198064763,0.31132092267103634,0.5118517194050057,0.14160895790606048,0.3275256517108514,0.28904249700863327,0.2824730326487333,0.13382122035237418,0.2339398191315877,0.1793110960635826,0.2870031808560135,0.47698309919292387,0.5216301443667548,0.4744450571215731,0.509184136152997,0.20547904898116037,0.19117226674324048,0.23918914214599468,0.38108698746717984,0.12226190074135918,0.2880636873873248,0.24649541291211233,0.11415888700616043,0.40644858079607027,0.409627127728274,0.2386007196520891,0.23564169877441307,0.2688494364868252,0.29351592118617204,0.18217475467300767,0.1674508295808101,0.30217514885268026,0.1382331037543903,0.15261363242921,0.02609108446690387,0.055658668843423076,0.24000711459898957,0.2525408558331709,0.3486747765132135,0.4503576305389991,0.6472417398091336
BRAP4,0.2175640856889273,0.17262639472584723,0.4250889511475895,0.41672013120138507,0.44282760039572655,0.1566740840692651,0.12983199602495127,0.7496967088587942,1.0,0.21366839515510325,0.34612955105302856,0.2793315211697603,0.2507640840679247,0.3480559147443768,0.37198701820473157,0.1849561955644132,0.3158290561650202,0.30236797945766897,0.37703400711979357,0.6061241250224055,0.14289836277312049,0.3763420224205911,0.3437378530792609,0.34404214619781304,0.1535601334631041,0.27517977908200325,0.19349400334199968,0.3353472023392974,0.5477142405066278,0.6174431605227284,0.5257497462390327,0.5978479500977085,0.20585288804627716,0.20058714149662055,0.25278142808288845,0.4541343861166704,0.14620148211845904,0.36526311159375613,0.2967898049395142,0.1330149394938645,0.4771516778242052,0.47554477205397,0.2640060293714368,0.25571814284269695,0.29268864394794203,0.32547587743699646,0.19781418493728462,0.19516660092182178,0.3662811509438783,0.167203763835681,0.14207680895252997,0.043693440038903825,0.057899272108593275,0.30975269622608725,0.2851116960891225,0.40772130052417743,0.5456308082517173,0.7968798402864353
BRKM3,0.17697518091558773,0.11466624609095902,0.18381037849385726,0.22913946681399533,0.2277187093149862,0.09294132516916295,0.09474518721582621,0.19599864175450107,0.21366839515510325,1.0,0.5918090816315957,0.1977217832251058,0.1317038308103438,0.1943483869066605,0.2063138285529123,0.11593947342315276,0.207713661703701,0.18779923598118073,0.20470757890640692,0.2487670746187604,0.10276970569758663,0.2330537739044891,0.21009615531316636,0.20441108295600247,0.09367195458579576,0.1624637088039897,0.1558695252521398,0.19910611068339407,0.2271057126604793,0.2530784014910883,0.259822968392907,0.23987286257966955,0.16882878420528213,0.19878542376659641,0.15284462946979196,0.22358832854978505,0.09969974647382979,0.19945458437504182,0.23061095863886347,0.053395551313703424,0.20748144329078022,0.20700927138423286,0.20396597474176872,0.12939354017494645,0.2007647430129267,0.21969799974646964,0.16808004341306346,0.16043292809543208,0.19058371318389727,0.09850249850919623,0.16700010440174454,0.062055686902843604,0.03844901527145372,0.1694805230130594,0.24783418028919532,0.2117324756506856,0.21891184737313774,0.20033870410535187
BRKM5,0.23736541782294876,0.13633998922072046,0.3412821651824359,0.37816192832736534,0.3859246715930798,0.1262228081173507,0.1384434094755964,0.29845004307783546,0.34612955105302856,0.5918090816315957,1.0,0.3072325306550166,0.2466301491236347,0.3008973729420472,0.318224087330775,0.17835061301128013,0.30962460359601435,0.2886568799167111,0.3425179488936432,0.38242422300764767,0.1251738465384522,0.3396963443213929,0.3273685841644269,0.3281470501386417,0.12303286294934754,0.266036160726391,0.21390773363150117,0.2607834375710647,0.36889035301102163,0.40725660939197234,0.3642978975651822,0.392746009061998,0.2265035161006632,0.24264054731505996,0.19193106099594404,0.37882791281929795,0.1355840971661977,0.35057726369310416,0.3028608430301239,0.09415855522875079,0.3486198299959912,0.3439196338089649,0.27910442132983765,0.21055078950834524,0.3077433832007831,0.32991947262857674,0.17613778490308662,0.20329163257115526,0.33463700513754235,0.1127794794930974,0.1613957098270631,0.044824393959403984,0.048348862087822374,0.30502233326406636,0.34271022926219524,0.31358101636793145,0.3783661031815289,0.32326261742034046
CCRO3,0.29666092613679096,0.13291242250112956,0.405491251565481,0.4304186882336734,0.423906670051683,0.11784789780145566,0.13741088836397308,0.2308174718913873,0.2793315211697603,0.1977217832251058,0.3072325306550166,1.0,0.22191050045099658,0.35204852483090604,0.374856561264321,0.17821622552142816,0.4011260542428599,0.33218668901675347,0.369849765459155,0.30395519233480695,0.13183360842667327,0.4649222316702584,0.35795519187866875,0.35052629252741657,0.11438317926093215,0.23370765511452268,0.22141827615847534,0.20194086417120538,0.2987347516430495,0.33221879430664314,0.3227133044176331,0.33962399714345665,0.29789776132783785,0.3093436945659868,0.2880128093688038,0.4225105007085056,0.14220552580157536,0.22644377620837436,0.3627867874623048,0.10088757539831147,0.36045639945324875,0.3795032309903663,0.3184498437873184,0.3098008835375531,0.3722390636784776,0.45447896371851665,0.2348297022398998,0.24221855247612714,0.3568478818353839,0.1280322352543277,0.19748030075116027,0.025296100876428206,0.04567705134147361,0.2918995729734552,0.24161206032132124,0.24888464328744792,0.30755422923578907,0.2671052873971787
CGAS5,0.17514794408324819,0.1069382267552575,0.2760024034924102,0.25079816486981193,0.26347003941447705,0.10244856001630945,0.1315293709883995,0.21657795865994384,0.2507640840679247,0.1317038308103438,0.2466301491236347,0.22191050045099658,1.0,0.29645966322446005,0.26516519886734596,0.15001924054863708,0.20769537116381287,0.25644215449788,0.2961801616073964,0.23149666826745854,0.11068630981443145,0.22592576363532893,0.27271794229275115,0.2831256489419262,0.11658501951985913,0.1878058502953772,0.15790398441286974,0.1718378626999683,0.20131232602316212,0.2495585887036701,0.2073430691628534,0.2359185164528142,0.19241487362817614,0.18662247352469588,0.11335885398543225,0.2759919845991854,0.07234549714785647,0.2303993781250221,0.17688677234154254,0.09670005871559849,0.23351626329063643,0.24658809143985636,0.19109499992072757,0.15619155019202735,0.20732760655385057,0.21532190359056744,0.12083094109842109,0.1761666309315299,0.2601023103492331,0.049695433955343066,0.10774770504198611,0.019208959438107697,0.023895545230789215,0.2904953195879274,0.2180839333785858,0.17440952624586345,0.2599552746691831,0.17959815821664132
CMIG3,0.21872629913797706,0.15302123700769937,0.4297934121908564,0.41638003172336446,0.4356624871687876,0.11704279154368648,0.15522974218906774,0.3052929063047364,0.3480559147443768,0.1943483869066605,0.3008973729420472,0.35204852483090604,0.29645966322446005,1.0,0.7847559639607758,0.24149720116667558,0.4491358762912346,0.4810232388539258,0.5494053402552964,0.3488478974509881,0.16810187774881297,0.3878530773604656,0.5203171148708323,0.5252545852128077,0.1989578770940953,0.18964291142200979,0.19441474517241306,0.20658041306345568,0.30288607420848707,0.37221725558997376,0.2876168401465137,0.37461312886348314,0.24020954262065425,0.25567606614658067,0.24513736091734417,0.44966872453882173,0.11902618035575804,0.26627938466437456,0.2917870817604961,0.10960528266040913,0.3911015202250948,0.41121033512819477,0.26925249029286535,0.279248634264362,0.2924857597377506,0.310505518660906,0.19203018541676783,0.2969277435807696,0.45234701958040324,0.13597507078707,0.14787144930302973,0.057797478687918284,0.06643070483254192,0.384843060782092,0.28219646262869746,0.2307513037222495,0.36276886300900046,0.2769727651644088
CMIG4,0.23418668385813443,0.177731361577487,0.46552746987499793,0.46852318606928933,0.5049515085925836,0.12023725649141143,0.17221323028776178,0.3063315106487673,0.37198701820473157,0.2063138285529123,0.318224087330775,0.374856561264321,0.26516519886734596,0.7847559639607758,1.0,0.26558015282675285,0.4989005045700054,0.5232705275310009,0.6331999922075207,0.37752566740475213,0.17241265084097118,0.4194742629819877,0.5862917089066962,0.5923270637916357,0.21571004240405947,0.2011911139819672,0.2045845696904459,0.189283999878345,0.3216497531983562,0.39768157483585537,0.3128691247007824,0.40236960218069223,0.27075074396430043,0.26098168460438337,0.26343104483568336,0.5148345746002907,0.127602722242792,0.28670046241560704,0.3352356900875859,0.11030387584756594,0.45446658676431984,0.47852362991550723,0.2838538162528297,0.29870626124248045,0.3120079398728169,0.3510817668547911,0.19439925796185428,0.31297682429818297,0.4992896681788654,0.14795176649677846,0.16374721807725162,0.07834745644645057,0.07523303831240326,0.40024772513816237,0.29037198245162493,0.2526851252136765,0.3985553670471942,0.3174112576792911
COCE5,0.13524429028638493,0.11492114168877038,0.23002166017214323,0.21298656720500508,0.2364603025205026,0.04618881204502501,0.10283507994981371,0.16749752729942918,0.1849561955644132,0.11593947342315276,0.17835061301128013,0.17821622552142816,0.15001924054863708,0.24149720116667558,0.26558015282675285,1.0,0.23620557963585836,0.22085787461963163,0.2724480640618361,0.20255466925389054,0.1022727178897724,0.22151028538821924,0.23510347457004035,0.2475968390236345,0.14048751264817222,0.08101447423719324,0.1023635233362214,0.13664603352196159,0.16810193326693487,0.1884560999254651,0.16187067562966742,0.20020120132663405,0.15583716267175426,0.16166381308713684,0.14208173076450872,0.2489215283577782,0.0668831026019178,0.1857585290767493,0.15507831638706274,0.07327271615275215,0.2337169559858871,0.24635682846219792,0.16417573938796481,0.16279230976041667,0.17222051444930309,0.19501517478517716,0.08305122173596712,0.1416559620490367,0.29350518262271513,0.08071012935456881,0.10133807306039863,0.05931477235914726,0.03026808001204377,0.18341741791669522,0.14752486348652838,0.15218266535977626,0.18427218402279788,0.1720082830456475
CPFE3,0.26439775378737596,0.16876535492687625,0.4095296961013066,0.4378134982542286,0.44789293576546424,0.16039349036746198,0.1342033856786916,0.2721028045589832,0.3158290561650202,0.207713661703701,0.30962460359601435,0.4011260542428599,0.20769537116381287,0.4491358762912346,0.4989005045700054,0.23620557963585836,1.0,0.4266279214494495,0.5120706147656747,0.3351909412344389,0.1303433371059352,0.4214298779477353,0.42896188989252176,0.42303858596253413,0.1307809816153529,0.24332742430275403,0.2135182612270251,0.2121791227273806,0.32491563638292414,0.35049377151726074,0.3267387777597222,0.35817469376210626,0.2644988919352992,0.2911995695600326,0.2919849907523251,0.4569049331672282,0.14952181035862583,0.28468609575883724,0.36406965262357305,0.08540833433488562,0.3685668485336252,0.37705379024533336,0.3333634763080007,0.29140825065319276,0.3361401693680428,0.3706141198989648,0.1889990547251012,0.27709063591676514,0.42559456744382207,0.1430382017954769,0.18260966838770595,0.07035964133449721,0.08213242525854052,0.3582202491924744,0.23451220782505214,0.2791070958794254,0.3230642997038904,0.30153630401388604
CPLE3,0.2391515185936432,0.18136224935540593,0.39274416907295256,0.3964150280116025,0.41290588162627045,0.1270957631737071,0.156521797911391,0.26695629198064763,0.30236797945766897,0.18779923598118073,0.2886568799167111,0.33218668901675347,0.25644215449788,0.4810232388539258,0.5232705275310009,0.22085787461963163,0.4266279214494495,1.0,0.7142872687510438,0.31680778825678085,0.14802885766773172,0.38353956663586464,0.4671624241488365,0.4757025503780365,0.19240447459508234,0.1567773537224119,0.19478783220734003,0.1808939849319789,0.29976886463975777,0.3354846162982595,0.2969848137338984,0.342634770957584,0.25373285082004365,0.26851525315083946,0.24731838167330905,0.42962328804204164,0.14314781721542535,0.2528730412344065,0.30775380753194737,0.09372096611542048,0.377815080710073,0.40133461188308095,0.27056944984578707,0.2810845466697904,0.2741139776138805,0.32881576390659273,0.16985415737810983,0.3235501204895436,0.4165915649720461,0.1355394590135572,0.1506813950146967,0.05878184121513326,0.06410958662940547,0.33299315699396276,0.2593817904113459,0.2413542498693595,0.33592100821987614,0.2630911943584692
