,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,6282,5461,6282,6281,6282,5046,5603,5815,5894,5001,5619,5490,5717,6278,6281,6202,5217,6191,6248,6280,5521,5023,6248,6248,5585,6142,6186,6014,5548,5830,5607,6281,5196,5654,5430,6282,5128,5733,5042,5409,6282,6282,6173,5182,6217,5064,5170,5599,6282,5233,4894,4786,6250,5792,6280,5759,6150,6267
BAZA3,5461,5898,5895,5898,5898,4627,5246,5421,5493,4531,5090,4968,5270,5895,5897,5782,4694,5804,5864,5896,5144,4560,5864,5864,5279,5770,5776,5593,5017,5407,5131,5897,4681,5163,5034,5898,4680,5230,4580,4989,5897,5897,5773,4669,5816,4585,4772,5082,5898,4844,4532,4615,5866,5416,5895,5260,5770,5884
BBAS3,6282,5895,6880,6879,6880,5148,6162,6207,6288,5048,5783,5665,6013,6874,6879,6720,5264,6781,6846,6876,6047,5064,6846,6846,6167,6688,6699,6428,5681,6171,5849,6879,5243,5869,5709,6879,5202,5949,5092,5767,6879,6879,6692,5229,6761,5106,5312,5778,6880,5447,5040,5380,6846,6271,6873,6003,6666,6851
BBDC3,6281,5898,6879,6885,6885,5147,6167,6210,6291,5048,5783,5665,6015,6880,6884,6724,5264,6786,6851,6881,6052,5064,6851,6851,6172,6692,6703,6431,5682,6174,5852,6884,5243,5871,5710,6884,5202,5949,5092,5769,6884,6884,6697,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
BBDC4,6282,5898,6880,6885,6886,5148,6168,6210,6291,5048,5783,5665,6015,6880,6885,6725,5264,6787,6852,6882,6052,5064,6852,6852,6173,6692,6704,6431,5682,6174,5852,6885,5243,5871,5710,6885,5202,5949,5092,5769,6885,6885,6697,5229,6767,5106,5312,5778,6886,5449,5041,5386,6852,6274,6879,6005,6669,6857
BEES3,5046,4627,5148,5147,5148,5148,4520,4993,5055,4699,5037,4869,4971,5146,5147,5131,4952,5054,5114,5148,4457,4878,5114,5114,4486,5081,5123,5092,5016,5050,4999,5148,4947,5016,4863,5147,4805,5045,4888,4562,5148,5148,5134,4941,5141,4898,4817,4981,5148,4800,4553,3668,5116,4811,5147,5043,5097,5144
BOBR4,5603,5246,6162,6167,6168,4520,6168,5520,5590,4460,5146,5028,5378,6162,6167,6015,4627,6085,6134,6164,5473,4428,6134,6134,5699,5977,5999,5743,5045,5523,5176,6167,4606,5225,5040,6167,4566,5312,4456,5153,6167,6167,5994,4592,6058,4469,4669,5145,6168,4780,4440,4992,6137,5569,6161,5324,5959,6142
BRAP3,5815,5421,6207,6210,6210,4993,5520,6210,6210,4987,5702,5584,5934,6210,6210,6125,5187,6126,6176,6210,5511,5004,6176,6176,5520,6171,6162,6068,5602,6093,5463,6210,5167,5582,5372,6210,5137,5868,5022,5256,6210,6210,6156,5154,6119,5043,5215,5700,6210,5267,4845,4725,6177,5932,6209,5772,6210,6207
BRAP4,5894,5493,6288,6291,6291,5055,5590,6210,6291,5048,5783,5665,6015,6291,6291,6205,5264,6198,6257,6291,5587,5064,6257,6257,5597,6252,6243,6149,5682,6174,5538,6291,5243,5658,5439,6291,5202,5949,5084,5332,6291,6291,6237,5229,6200,5106,5267,5778,6291,5329,4897,4795,6258,6013,6290,5850,6291,6288
BRKM3,5001,4531,5048,5048,5048,4699,4460,4987,5048,5048,5048,4879,4972,5048,5048,5044,4925,4964,5014,5048,4394,4776,5014,5014,4411,5009,5044,5037,5016,5048,4922,5048,4907,4972,4751,5048,4768,5048,4789,4519,5048,5048,5048,4894,5047,4808,4716,4995,5048,4668,4419,3635,5016,4770,5048,5022,5048,5048
BRKM5,5619,5090,5783,5783,5783,5037,5146,5702,5783,5048,5783,5580,5707,5783,5783,5768,5264,5691,5749,5783,5102,5064,5749,5749,5104,5744,5771,5763,5580,5783,5354,5783,5243,5506,5204,5783,5198,5783,5082,5060,5783,5783,5783,5229,5771,5106,5183,5699,5783,5111,4773,4288,5750,5505,5782,5609,5783,5783
CCRO3,5490,4968,5665,5665,5665,4869,5028,5584,5665,4879,5580,5665,5606,5665,5665,5648,5095,5572,5665,5665,5153,4895,5665,5665,4982,5665,5652,5634,5434,5665,5201,5665,5074,5351,5064,5665,5026,5665,4914,4934,5665,5665,5656,5060,5636,4937,5015,5542,5665,4952,4614,4190,5636,5556,5665,5449,5665,5665
CGAS5,5717,5270,6013,6015,6015,4971,5378,5934,6015,4972,5707,5606,6015,6015,6015,5948,5188,5923,5983,6015,5364,4988,5983,5983,5322,5978,5988,5926,5597,6015,5346,6015,5167,5508,5267,6015,5125,5873,5008,5136,6015,6015,5983,5153,5943,5030,5161,5702,6015,5155,4746,4527,5983,5766,6014,5633,6015,6014
CMIG3,6278,5895,6874,6880,6880,5146,6162,6210,6291,5048,5783,5665,6015,6880,6880,6722,5264,6781,6846,6876,6048,5064,6846,6846,6167,6692,6701,6430,5682,6174,5850,6879,5243,5870,5708,6879,5202,5949,5092,5764,6879,6879,6693,5229,6761,5106,5312,5778,6880,5449,5041,5380,6846,6274,6873,6005,6669,6851
CMIG4,6281,5897,6879,6884,6885,5147,6167,6210,6291,5048,5783,5665,6015,6880,6885,6725,5264,6786,6851,6881,6052,5064,6851,6851,6172,6692,6704,6431,5682,6174,5852,6884,5243,5871,5710,6884,5202,5949,5092,5768,6884,6884,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
COCE5,6202,5782,6720,6724,6725,5131,6015,6125,6205,5044,5768,5648,5948,6722,6725,6725,5257,6626,6691,6722,5916,5057,6691,6691,6019,6552,6570,6340,5656,6098,5795,6724,5236,5822,5641,6724,5195,5923,5085,5668,6725,6725,6564,5222,6624,5099,5291,5761,6725,5408,5008,5227,6691,6156,6718,5946,6537,6700
CPFE3,5217,4694,5264,5264,5264,4952,4627,5187,5264,4925,5264,5095,5188,5264,5264,5257,5264,5172,5230,5264,4583,5064,5230,5230,4591,5225,5262,5253,5262,5264,5215,5264,5243,5215,4981,5264,4964,5264,5081,4721,5264,5264,5264,5229,5263,5106,4925,5205,5264,4906,4630,3770,5232,4986,5264,5250,5264,5264
CPLE3,6191,5804,6781,6786,6787,5054,6085,6126,6198,4964,5691,5572,5923,6781,6786,6626,5172,6787,6753,6783,5964,4972,6753,6753,6075,6597,6607,6337,5589,6081,5757,6786,5151,5780,5617,6786,5111,5856,5000,5680,6786,6786,6601,5137,6669,5014,5221,5701,6787,5361,4967,5293,6753,6181,6780,5913,6576,6759
CPLE6,6248,5864,6846,6851,6852,5114,6134,6176,6257,5014,5749,5665,5983,6846,6851,6691,5230,6753,6852,6848,6052,5030,6852,6852,6139,6692,6670,6397,5648,6140,5818,6851,5209,5837,5676,6851,5168,5915,5058,5741,6851,6851,6663,5195,6733,5072,5278,5744,6852,5415,5007,5355,6818,6274,6845,5971,6635,6823
CSNA3,6280,5896,6876,6881,6882,5148,6164,6210,6291,5048,5783,5665,6015,6876,6881,6722,5264,6783,6848,6882,6049,5064,6848,6848,6169,6689,6700,6431,5682,6174,5851,6881,5243,5869,5708,6881,5202,5949,5092,5766,6881,6881,6696,5229,6764,5106,5312,5778,6882,5449,5041,5382,6848,6273,6875,6005,6668,6854
CTNM4,5521,5144,6047,6052,6052,4457,5473,5511,5587,4394,5102,5153,5364,6048,6052,5916,4583,5964,6052,6049,6052,4383,6052,6052,5479,5943,5909,5699,5000,5476,5118,6051,4562,5144,4961,6052,4521,5268,4409,5112,6051,6051,5898,4548,5944,4425,4621,5097,6052,4755,4361,4798,6031,5819,6048,5286,5903,6027
CYRE3,5023,4560,5064,5064,5064,4878,4428,5004,5064,4776,5064,4895,4988,5064,5064,5057,5064,4972,5030,5064,4383,5064,5030,5030,4391,5025,5064,5053,5064,5064,5039,5064,5064,5048,4891,5064,4816,5064,5064,4521,5064,5064,5064,5064,5063,5064,4847,5007,5064,4819,4550,3570,5032,4786,5064,5056,5064,5064
ELET3,6248,5864,6846,6851,6852,5114,6134,6176,6257,5014,5749,5665,5983,6846,6851,6691,5230,6753,6852,6848,6052,5030,6852,6852,6139,6692,6670,6397,5648,6140,5818,6851,5209,5837,5676,6851,5168,5915,5058,5741,6851,6851,6663,5195,6733,5072,5278,5744,6852,5415,5007,5355,6818,6274,6845,5971,6635,6823
ELET6,6248,5864,6846,6851,6852,5114,6134,6176,6257,5014,5749,5665,5983,6846,6851,6691,5230,6753,6852,6848,6052,5030,6852,6852,6139,6692,6670,6397,5648,6140,5818,6851,5209,5837,5676,6851,5168,5915,5058,5741,6851,6851,6663,5195,6733,5072,5278,5744,6852,5415,5007,5355,6818,6274,6845,5971,6635,6823
EMAE4,5585,5279,6167,6172,6173,4486,5699,5520,5597,4411,5104,4982,5322,6167,6172,6019,4591,6075,6139,6169,5479,4391,6139,6139,6173,5991,6001,5729,5002,5480,5169,6172,4570,5188,5017,6172,4527,5256,4419,5168,6172,6172,5990,4556,6056,4433,4632,5088,6173,4772,4379,5091,6143,5580,6167,5322,5969,6147
EMBR3,6142,5770,6688,6692,6692,5081,5977,6171,6252,5009,5744,5665,5978,6692,6692,6552,5225,6597,6692,6689,5943,5025,6692,6692,5991,6692,6576,6349,5643,6135,5745,6692,5204,5788,5593,6691,5163,5910,5053,5626,6691,6691,6546,5190,6579,5067,5268,5739,6692,5410,4981,5196,6658,6273,6688,5942,6613,6676
ETER3,6186,5776,6699,6703,6704,5123,5999,6162,6243,5044,5771,5652,5988,6701,6704,6570,5262,6607,6670,6700,5909,5064,6670,6670,6001,6576,6704,6350,5673,6137,5779,6703,5241,5815,5623,6704,5197,5934,5091,5657,6704,6704,6562,5227,6591,5106,5292,5764,6704,5415,5005,5206,6671,6203,6699,5953,6573,6681
FESA4,6014,5593,6428,6431,6431,5092,5743,6068,6149,5037,5763,5634,5926,6430,6431,6340,5253,6337,6397,6431,5699,5053,6397,6397,5729,6349,6350,6431,5643,6057,5671,6431,5232,5744,5504,6430,5190,5897,5072,5487,6431,6431,6339,5218,6350,5095,5261,5748,6431,5366,4965,4934,6397,6067,6428,5880,6373,6421
GGBR3,5548,5017,5681,5682,5682,5016,5045,5602,5682,5016,5580,5434,5597,5682,5682,5656,5262,5589,5648,5682,5000,5064,5648,5648,5002,5643,5673,5643,5682,5682,5349,5682,5242,5432,5165,5682,5130,5652,5082,4986,5682,5682,5672,5229,5659,5106,5114,5542,5682,5062,4748,4187,5649,5404,5682,5519,5682,5682
GGBR4,5830,5407,6171,6174,6174,5050,5523,6093,6174,5048,5783,5665,6015,6174,6174,6098,5264,6081,6140,6174,5476,5064,6140,6140,5480,6135,6137,6057,5682,6174,5471,6174,5243,5626,5381,6174,5201,5949,5084,5246,6174,6174,6138,5229,6095,5106,5250,5778,6174,5258,4843,4678,6141,5896,6173,5765,6174,6173
GOAU3,5607,5131,5849,5852,5852,4999,5176,5463,5538,4922,5354,5201,5346,5850,5852,5795,5215,5757,5818,5851,5118,5039,5818,5818,5169,5745,5779,5671,5349,5471,5852,5852,5206,5452,5240,5852,5001,5381,5059,5139,5851,5851,5771,5199,5818,5081,5028,5300,5852,5105,4806,4362,5819,5439,5849,5520,5770,5837
GOAU4,6281,5897,6879,6884,6885,5148,6167,6210,6291,5048,5783,5665,6015,6879,6884,6724,5264,6786,6851,6881,6051,5064,6851,6851,6172,6692,6703,6431,5682,6174,5852,6885,5243,5871,5709,6884,5202,5949,5092,5768,6884,6884,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
GRND3,5196,4681,5243,5243,5243,4947,4606,5167,5243,4907,5243,5074,5167,5243,5243,5236,5243,5151,5209,5243,4562,5064,5209,5209,4570,5204,5241,5232,5242,5243,5206,5243,5243,5201,4971,5243,4945,5243,5081,4700,5243,5243,5243,5229,5242,5106,4909,5184,5243,4897,4625,3749,5211,4965,5243,5229,5243,5243
GUAR3,5654,5163,5869,5871,5871,5016,5225,5582,5658,4972,5506,5351,5508,5870,5871,5822,5215,5780,5837,5869,5144,5048,5837,5837,5188,5788,5815,5744,5432,5626,5452,5871,5201,5871,5243,5871,5063,5549,5067,5138,5870,5870,5820,5193,5837,5089,5094,5463,5871,5113,4798,4375,5837,5501,5870,5557,5811,5866
ITSA3,5430,5034,5709,5710,5710,4863,5040,5372,5439,4751,5204,5064,5267,5708,5710,5641,4981,5617,5676,5708,4961,4891,5676,5676,5017,5593,5623,5504,5165,5381,5240,5709,4971,5243,5710,5710,4859,5286,4905,4904,5710,5710,5627,4963,5661,4912,4929,5192,5710,4956,4660,4226,5678,5266,5707,5317,5602,5695
ITSA4,6282,5898,6879,6884,6885,5147,6167,6210,6291,5048,5783,5665,6015,6879,6884,6724,5264,6786,6851,6881,6052,5064,6851,6851,6172,6691,6704,6430,5682,6174,5852,6884,5243,5871,5710,6885,5202,5949,5092,5768,6884,6884,6696,5229,6766,5106,5312,5778,6885,5449,5041,5385,6851,6274,6878,6005,6669,6856
KEPL3,5128,4680,5202,5202,5202,4805,4566,5137,5202,4768,5198,5026,5125,5202,5202,5195,4964,5111,5168,5202,4521,4816,5168,5168,4527,5163,5197,5190,5130,5201,5001,5202,4945,5063,4859,5202,5202,5198,4824,4609,5202,5202,5202,4931,5197,4838,4869,5134,5202,4803,4541,3707,5169,4924,5202,5149,5202,5202
KLBN4,5733,5230,5949,5949,5949,5045,5312,5868,5949,5048,5783,5665,5873,5949,5949,5923,5264,5856,5915,5949,5268,5064,5915,5915,5256,5910,5934,5897,5652,5949,5381,5949,5243,5549,5286,5949,5198,5949,5084,5116,5949,5949,5935,5229,5903,5106,5220,5778,5949,5161,4796,4454,5916,5671,5948,5660,5949,5949
LREN3,5042,4580,5092,5092,5092,4888,4456,5022,5084,4789,5082,4914,5008,5092,5092,5085,5081,5000,5058,5092,4409,5064,5058,5058,4419,5053,5091,5072,5082,5084,5059,5092,5081,5067,4905,5092,4824,5084,5092,4542,5092,5092,5089,5081,5091,5080,4849,5026,5092,4829,4558,3598,5060,4806,5092,5075,5087,5092
