symbol1,symbol2,correlation,n_obs
PETR3,PETR4,0.9401996848942773,6885
ELET3,ELET6,0.9110208884303852,6852
GGBR4,GOAU4,0.8924553244214966,6174
BBDC3,BBDC4,0.8657715919032228,6885
GGBR3,GGBR4,0.8030292955543932,5682
BRAP4,VALE3,0.7968798402864353,6288
CMIG3,CMIG4,0.7847559639607758,6880
GGBR3,GOAU4,0.7659524484978304,5682
BRAP3,BRAP4,0.7496967088587942,6210
BBDC4,ITSA4,0.7476787031426108,6885
GGBR4,GOAU3,0.7293218231930182,5471
GGBR3,GOAU3,0.7169103578251058,5349
GOAU3,GOAU4,0.7160604805995727,5852
CPLE3,CPLE6,0.7142872687510438,6753
BBDC3,ITSA4,0.6967909376463122,6884
CSNA3,USIM5,0.678541854695583,6668
CSNA3,GGBR4,0.6695250816179213,6174
USIM3,USIM5,0.6563850264888184,5961
GGBR4,USIM5,0.6538892460081835,6174
BRAP3,VALE3,0.6472417398091336,6207
GOAU4,USIM5,0.6403811465724019,6669
CMIG4,CPLE6,0.6331999922075207,6851
BRAP4,GGBR4,0.6174431605227284,6174
BBAS3,ITSA4,0.6120801788325434,6879
CSNA3,GOAU4,0.6116135684261201,6881
BRAP4,CSNA3,0.6061241250224055,6291
GGBR4,VALE3,0.6051208350591352,6173
BBAS3,BBDC4,0.600041840050284,6880
BRAP4,GOAU4,0.5978479500977085,6291
CMIG4,ELET6,0.5923270637916357,6851
BRKM3,BRKM5,0.5918090816315957,5048
CSNA3,GGBR3,0.591502640877167,5682
CMIG4,ELET3,0.5862917089066962,6851
CSNA3,VALE3,0.5743833554948262,6854
CPLE6,ELET6,0.5716893760153287,6852
BBAS3,BBDC3,0.5698671382607154,6879
GGBR3,USIM5,0.5696569516422791,5682
CPLE6,ELET3,0.559605720332513,6852
CYRE3,ITSA4,0.5551881315504259,5064
CMIG3,CPLE6,0.5494053402552964,6846
BRAP4,GGBR3,0.5477142405066278,5682
BRAP4,USIM5,0.5456308082517173,6291
CYRE3,LREN3,0.5437145993710747,5064
GOAU4,VALE3,0.5397042724414834,6856
GGBR3,VALE3,0.5393400956390928,5682
GOAU3,USIM5,0.5379417826747085,5770
BBDC4,PETR4,0.5360123525823579,6885
BBDC4,CYRE3,0.5350029513776717,5064
ITSA4,PETR4,0.5348405312273473,6884
CSNA3,GOAU3,0.5285366961891939,5851
BRAP4,GOAU3,0.5257497462390327,5538
CMIG3,ELET6,0.5252545852128077,6846
CMIG4,CPLE3,0.5232705275310009,6786
BBDC4,PETR3,0.5226093124396632,6885
BRAP3,GGBR4,0.5216301443667548,6093
CMIG3,ELET3,0.5203171148708323,6846
BBAS3,CYRE3,0.5190451243861973,5064
ITSA4,PETR3,0.5161893240749821,6884
CMIG4,ITSA4,0.5148345746002907,6884
BBDC3,CYRE3,0.5124423562017019,5064
CPFE3,CPLE6,0.5120706147656747,5230
BBAS3,PETR4,0.5119817363173645,6879
BRAP3,CSNA3,0.5118517194050057,6210
BRAP3,GOAU4,0.509184136152997,6210
CPLE6,SBSP3,0.5086178268569365,6852
BBDC4,CMIG4,0.5049515085925836,6885
CPLE6,ITSA4,0.5029878657166759,6851
GGBR4,PETR4,0.501299496952475,6174
CMIG4,SBSP3,0.4992896681788654,6885
CMIG4,CPFE3,0.4989005045700054,5264
GGBR4,PETR3,0.4971672267429912,6174
BBDC3,PETR4,0.4959446400574732,6884
ELET3,ITSA4,0.49510324755334584,6851
ELET6,ITSA4,0.49376052440390344,6851
BBDC4,CPLE6,0.49368582749278545,6852
GOAU4,PETR4,0.4929926183609064,6884
USIM5,VALE3,0.49182372527230633,6660
BBDC4,GGBR4,0.49172542580660217,6174
ITSA4,SBSP3,0.49130552420648044,6885
GGBR4,ITSA4,0.48913998067181447,6174
CYRE3,RENT3,0.4871679543928729,5064
PETR3,VALE3,0.48595898342678817,6856
BBDC3,PETR3,0.4857036761144009,6884
CSNA3,USIM3,0.4844712469400927,6005
CSNA3,PETR4,0.48420494342935877,6881
BBDC4,ELET3,0.48296735015852627,6852
GGBR4,USIM3,0.48218187491177733,5765
BBAS3,PETR3,0.4816031839194403,6879
BBDC4,RENT3,0.48144655003332854,5106
BBDC4,ELET6,0.4814316810014811,6852
CMIG3,CPLE3,0.4810232388539258,6781
CMIG4,PETR4,0.47852362991550723,6884
BRAP4,PETR3,0.4771516778242052,6291
BRAP3,GGBR3,0.47698309919292387,5602
ELET3,PETR4,0.4764403291778431,6851
CPLE6,PETR4,0.47640082792238914,6851
BBDC3,RENT3,0.4762541159468097,5106
GOAU4,PETR3,0.4757112058046798,6884
CPLE3,ELET6,0.4757025503780365,6753
GGBR3,USIM3,0.47568349318377723,5519
BRAP4,PETR4,0.47554477205397,6291
PETR4,VALE3,0.4753984125492838,6856
BRAP3,GOAU3,0.4744450571215731,5463
CSNA3,PETR3,0.47400723949652546,6881
BBDC4,SBSP3,0.4728331687100122,6886
CYRE3,RAPT4,0.47051405602262286,5063
ELET6,PETR4,0.47029509328423474,6851
LREN3,RENT3,0.46993343781134633,5080
BBDC3,GGBR4,0.4697376191352667,6174
BBDC3,CMIG4,0.46852318606928933,6884
ITSA4,RENT3,0.46838701862605636,5106
CPLE3,ELET3,0.4671624241488365,6753
GOAU3,VALE3,0.46633494838209394,5837
ITSA3,ITSA4,0.4660240477129514,5710
BBAS3,CMIG4,0.46552746987499793,6879
BBDC3,CPLE6,0.46528091429270513,6851
GOAU4,ITSA4,0.4651630581123477,6884
CCRO3,CYRE3,0.4649222316702584,4895
ELET6,SBSP3,0.4610779548359944,6852
BBDC3,ELET3,0.45830658516138767,6851
BBDC3,SBSP3,0.45780584493777454,6885
BBDC4,GOAU4,0.4573322484354539,6885
CPFE3,ITSA4,0.4569049331672282,5264
CPLE6,PETR3,0.4555951436902863,6851
CCRO3,RENT3,0.45447896371851665,4937
CMIG4,PETR3,0.45446658676431984,6884
BRAP4,ITSA4,0.4541343861166704,6291
BBAS3,ELET3,0.4526553760922096,6846
CMIG3,SBSP3,0.45234701958040324,6880
ITSA4,USIM5,0.4519118260312528,6669
BBDC3,ELET6,0.4515117317565787,6851
CYRE3,GOAU4,0.45111316605822577,5064
BBAS3,ELET6,0.45054577331430007,6846
BRAP3,USIM5,0.4503576305389991,6210
PETR4,USIM5,0.4497646531078484,6668
CMIG3,ITSA4,0.44966872453882173,6879
CMIG3,CPFE3,0.4491358762912346,5264
BBAS3,CPLE6,0.4487180277471696,6846
BBDC4,CPFE3,0.44789293576546424,5264
ELET3,SBSP3,0.44772180380827575,6852
BBDC4,CSNA3,0.44754949013024203,6882
GGBR3,PETR4,0.44735169209687176,5682
BBAS3,GGBR4,0.44688933678620657,6171
CSNA3,ITSA4,0.44576447725027785,6881
ELET3,PETR3,0.4448292491512831,6851
CPLE6,CYRE3,0.44352600575781786,5030
BBDC4,BRAP4,0.44282760039572655,6291
CYRE3,SBSP3,0.4425985912056314,5064
BBAS3,USIM5,0.44139322407908566,6666
BBDC4,USIM5,0.44063911435349623,6669
CYRE3,GGBR4,0.44053665907788275,5064
ELET6,PETR3,0.43978384781412583,6851
GGBR3,PETR3,0.4392917427617807,5682
BBAS3,RENT3,0.4378887334947246,5106
BBDC3,CPFE3,0.4378134982542286,5264
PETR4,SBSP3,0.4369464715778621,6885
BBDC4,CMIG3,0.4356624871687876,6880
GGBR3,ITSA4,0.4322209178886825,5682
CYRE3,PETR4,0.4321744012040872,5064
BBAS3,SBSP3,0.4315238145353733,6880
BBDC3,GOAU4,0.4306580901233836,6884
BBDC3,CCRO3,0.4304186882336734,5665
CYRE3,ELET3,0.42979554823488014,5030
BBAS3,CMIG3,0.4297934121908564,6874
CPLE3,ITSA4,0.42962328804204164,6786
BBDC3,CSNA3,0.42956246151139105,6881
BBAS3,GOAU4,0.4291973668771243,6879
CPFE3,ELET3,0.42896188989252176,5230
GOAU4,USIM3,0.42806182427666656,6005
CYRE3,ELET6,0.4270842157415786,5030
CPFE3,CPLE3,0.4266279214494495,5172
CPFE3,SBSP3,0.42559456744382207,5264
PETR3,USIM5,0.42520930081892044,6668
BBAS3,BRAP4,0.4250889511475895,6288
CYRE3,POMO4,0.4245601877582975,5064
BBDC4,CCRO3,0.423906670051683,5665
CPFE3,ELET6,0.42303858596253413,5230
CYRE3,PETR3,0.42277391912911966,5064
CCRO3,ITSA4,0.4225105007085056,5665
CPFE3,CYRE3,0.4214298779477353,5064
PETR3,SBSP3,0.42103644594449396,6885
BBDC4,GGBR3,0.41981996900529717,5682
CMIG4,CYRE3,0.4194742629819877,5064
BBAS3,CSNA3,0.41718118427263196,6876
CYRE3,GUAR3,0.41674208168100046,5048
BBDC3,BRAP4,0.41672013120138507,6291
CPLE3,SBSP3,0.4165915649720461,6787
