,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,1.0,0.15745149069472128,0.3525991221273428,0.37814405017334496,0.3812403225221085,0.18942458672296217,0.25257692803435655,0.23687459908468608,0.2385347025584141,0.27999286643924887,0.3438505464391242,0.4095784924148879,0.2674558485660758,0.29554296371212535,0.3217488712533217,0.20534403693072129,0.32332876408750283,0.32430841891786755,0.3330740887986516,0.284744575448278,0.3089260407316221,0.47637671599826487,0.3357329933285714,0.33063773176466327,0.23084188537357633,0.3445557298253422,0.3309126391510799,0.2628432225290005,0.3000366416630042,0.2964960433388363,0.31592700348827707,0.30727324008415763,0.4480915410924112,0.49812074832328546,0.2889337969640283,0.3733719431421898,0.18308708624212772,0.2425124432692369,0.4816051972041003,0.20477347962155,0.34182432070447505,0.34218349905814827,0.4333606198275005,0.3419774514214457,0.48645754868486735,0.45941850395958267,0.3685468886956963,0.3392025033875433,0.33463211806700144,0.246368547354362,0.35169911959108546,0.1011113777690619,0.1336434841469601,0.254776005445407,0.35694732124392226,0.2731226461286935,0.2952293843836311,0.2358589457903095
BAZA3,0.15745149069472128,1.0,0.3198180585866687,0.338026338081696,0.3404437125900608,0.14073037133857555,0.09802117732550739,0.24194642078186254,0.27895475687542853,0.11025591799673537,0.18777799149723265,0.24605334544328317,0.10945650237990659,0.203398754691422,0.23856252020182556,0.13098099050225975,0.21713976553463843,0.19817664063466478,0.2376988123364506,0.2608144255096411,0.10227251276319588,0.2679236811872959,0.23252948945507546,0.23524670668406622,0.05933523339522731,0.19581994891123616,0.11164314129208179,0.16237661642272982,0.2687777043765308,0.2774624862757422,0.25767191024960806,0.27724504018754925,0.17553313817769395,0.1776876608823996,0.21683688919997662,0.33833918731759605,0.07448372140665901,0.19258796663436575,0.24402594152581408,0.08976264904600297,0.3019517874231182,0.300628828010344,0.20910358054910352,0.2150358207974135,0.23265821989044716,0.23447128357056773,0.10654983936110911,0.15610136493713617,0.2393246233542905,0.17660314390550988,0.08672999198169629,0.10588394987304571,0.11350568864535557,0.1854140425325067,0.18131031153652385,0.24180277856884835,0.25905629311626255,0.28084585650031196
BBAS3,0.3525991221273428,0.3198180585866687,1.0,0.7459627961630851,0.7505798047546187,0.30084632239858844,0.20871814723273008,0.4571439064337737,0.5249566713893187,0.23086021881312058,0.3968879670149411,0.5610998953660136,0.23522493816286627,0.48251492764745185,0.5629123693185681,0.29723493922562194,0.508945943071939,0.473828801109529,0.5580423213345522,0.49782802604265813,0.22554932701242505,0.5945726197268719,0.5462495591703055,0.5502468271679125,0.1264316267021351,0.4169642810498821,0.23576816532062456,0.2983426007273968,0.5144819298233249,0.5297322488537118,0.4942847829891924,0.5348010632377943,0.4147865563627369,0.4027748175369541,0.4853819605631455,0.7426876604674783,0.16383466000643845,0.37525612127380353,0.544275150568748,0.19911156587829457,0.6351246092841069,0.6342954837853464,0.4580928242902363,0.47252047485468873,0.5070391399749917,0.5117008926739892,0.22093138628598252,0.3739147356366733,0.538430696281126,0.37575961080887993,0.19000126826150876,0.1361291317683312,0.15013138935759213,0.4238518507043257,0.375677493078469,0.46240298034013794,0.4981834131036109,0.5291442472734533
BBDC3,0.37814405017334496,0.338026338081696,0.7459627961630851,1.0,0.798310610758327,0.31801931836434905,0.22028547749049504,0.4838067226739893,0.5529832130169565,0.23339801754140121,0.4085504460479291,0.5914399822889492,0.24616688611499776,0.48801747619018976,0.5744617052792523,0.30227641133911093,0.5216612261635906,0.4836086464219855,0.5720122185366475,0.5201557901473262,0.24229616177591917,0.6282126601138885,0.5609553248034269,0.5642205302242008,0.13334351562770336,0.43882841595127453,0.2493434300672088,0.3095452608838197,0.537750009070994,0.5527574310909358,0.5158244398425883,0.557138322601238,0.4460238555435375,0.4281766868311182,0.5207875631515407,0.7878671713234972,0.17036124921205048,0.39150289702620217,0.5770437822771628,0.21585198582524226,0.6734505823224182,0.6720805352312793,0.483485052681408,0.504493056995032,0.5353577794599172,0.5451381900340541,0.23064811585415995,0.3831019899960072,0.5549140939184826,0.3952012504549903,0.19545722561397244,0.11643220514793048,0.1322064466446372,0.43320532998225986,0.39405705828282944,0.4803350311472672,0.5176419243199426,0.5576120574234742
BBDC4,0.3812403225221085,0.3404437125900608,0.7505798047546187,0.798310610758327,1.0,0.3195264617185696,0.22044433453095502,0.48307862442928506,0.5525578694670962,0.22851226745611997,0.40478221150639004,0.5931893999134262,0.24620847022820452,0.48320654815522657,0.5707104637653915,0.2998469836251801,0.5185948581428921,0.47952281925676954,0.5675428916611914,0.5178403331410045,0.2425375294149898,0.6307695481439254,0.557945778052856,0.5611493206392401,0.13207016591083867,0.4396217495386614,0.24959264870877584,0.3077719493816916,0.5349780387115127,0.5499168810866429,0.513108056903608,0.5538196948697477,0.44874585305623405,0.43035252520272,0.5247550299357244,0.7927765489984405,0.16995406423849713,0.39099462113677474,0.5805564752027956,0.21665834223262503,0.6767168727491405,0.6752088590680062,0.48474341176485186,0.5086504515221243,0.5363756331130701,0.5484140532645961,0.22872600953680294,0.38115965766843046,0.5533375525665293,0.39649717260522555,0.19292046828833379,0.12304918569164366,0.1388848562741414,0.4303876016356836,0.39347612249834524,0.4772911531278326,0.5143501069103206,0.5573611027465911
BEES3,0.18942458672296217,0.14073037133857555,0.30084632239858844,0.31801931836434905,0.3195264617185696,1.0,0.11614702800338171,0.23329646905334325,0.2621693309579894,0.14216336955723746,0.2117023002816629,0.25633785424579947,0.12756739093037855,0.21947181850675598,0.2495422957075608,0.14171506387746802,0.23096159566565633,0.21839458471381779,0.25307633941841867,0.2586858236825214,0.12867295915383026,0.28150436572299503,0.24530672465080033,0.24671277450237203,0.08540407907590011,0.2074461408791069,0.138349428693948,0.17346917986363752,0.26872362699990715,0.2751981356863691,0.2616768943761156,0.277865650921977,0.20339563943475453,0.21224514525844196,0.21048835643630226,0.31847238293689956,0.0880580609963566,0.19221952943933102,0.26035030964657424,0.10220758758192781,0.2878160454741371,0.2871179284929234,0.23036258729545792,0.215178080205456,0.25800639890705424,0.25026497188973973,0.14500758437462474,0.1806960504013691,0.24650422822275753,0.17612449023192178,0.12781374016654756,0.07346972552937399,0.08437884139536914,0.19423621482746492,0.20072003330877192,0.24309059909637035,0.2609967873478797,0.2628878904970203
BOBR4,0.25257692803435655,0.09802117732550739,0.20871814723273008,0.22028547749049504,0.22044433453095502,0.11614702800338171,1.0,0.1939022035462731,0.20315320444822346,0.19764304362260032,0.23836127748764102,0.2375206110937437,0.1598164078160919,0.20256855781642005,0.214683324454936,0.13923690871065977,0.2108605708249271,0.2121845371889385,0.2263171687996034,0.2312020633103714,0.17811558397369676,0.27652538224963874,0.21830727455859308,0.21697530220261388,0.14035618377796663,0.21258107354296288,0.1941937835661628,0.19478307795500532,0.24362647514304073,0.2447323610786212,0.24835358349252362,0.2512595797101763,0.2389010529791156,0.27398791551500923,0.16094144671676397,0.2218412048758031,0.11053396727754053,0.17765013444503358,0.26912022809570374,0.11758411096747506,0.2188010724765389,0.21883752470902976,0.254760772839533,0.1901337044647361,0.28899844899365684,0.26167647568846625,0.22732802512681513,0.20345825948144872,0.21818620056424562,0.15428490031484407,0.21432777152873755,0.05908474604053524,0.07816947411865804,0.17359587623383338,0.22826396950581906,0.22395573323092008,0.2405596283050098,0.20099685422773644
BRAP3,0.23687459908468608,0.24194642078186254,0.4571439064337737,0.4838067226739893,0.48307862442928506,0.23329646905334325,0.1939022035462731,1.0,0.6898167379615951,0.3018498060211987,0.4172172900251309,0.3505592502641614,0.2018433143749126,0.2912533161102395,0.3271962772660423,0.2133013941006459,0.31224679477254147,0.28728536341655203,0.3688961593540607,0.6597742775446785,0.21205828573107602,0.41072729241075234,0.3298063835213666,0.33430549287093936,0.15876047710399321,0.3569157553136634,0.22901306521910259,0.4377515553364415,0.6887720413026461,0.7070181949806222,0.6563117504053745,0.7023639659966401,0.24162079889724158,0.2681596093890614,0.3141314080698891,0.49574298522837107,0.13421087400114073,0.4356881759391849,0.35086750142934175,0.17539053937365054,0.5308069930374958,0.5247787524239055,0.3541424707692622,0.311890620111156,0.41180603531191146,0.37987091646212057,0.27120518302340113,0.2039882302875813,0.36531218560061424,0.30111837516453915,0.20991707426347406,0.051069953339490826,0.07653072965051674,0.28855035243244503,0.3834249914266884,0.617638853670367,0.6572124730719215,0.6893471775492425
BRAP4,0.2385347025584141,0.27895475687542853,0.5249566713893187,0.5529832130169565,0.5525578694670962,0.2621693309579894,0.20315320444822346,0.6898167379615951,1.0,0.3197830398073193,0.4549621294338768,0.3876651414725379,0.21431388552002056,0.3345845506578563,0.3777702682170545,0.24115518611700476,0.3547101651029876,0.3228934224973804,0.4172704586130924,0.7355366268420579,0.21346962211276224,0.45064337610768823,0.3754091166358617,0.3822072043676233,0.15722751633261492,0.39106461068955856,0.23559021395307028,0.48042213393185107,0.7658758554021295,0.7886505583037131,0.7278390753685242,0.7824030152597662,0.2454091647467254,0.27430603902677875,0.34994326839867046,0.5672247764009457,0.14252580076552446,0.4873236506763615,0.380950959216237,0.18143672225509147,0.5997263326351062,0.593116501551044,0.38109306235889506,0.3454592696657844,0.44184227682046184,0.40989431993127834,0.275292397708079,0.22308865333887248,0.4163685623152211,0.338099678884878,0.2081704869149244,0.10991137979216982,0.1347575569716956,0.3294995518194711,0.41444053243214407,0.6885429401800084,0.7323218096530669,0.7759861523480547
BRKM3,0.27999286643924887,0.11025591799673537,0.23086021881312058,0.23339801754140121,0.22851226745611997,0.14216336955723746,0.19764304362260032,0.3018498060211987,0.3197830398073193,1.0,0.3870640220375826,0.29544686551999644,0.21420074939661468,0.35572285812453075,0.3578072514757899,0.23192482067402148,0.33845818747049033,0.3513310149045083,0.3808968660635659,0.37935307259441897,0.2255398673566052,0.33743464292166714,0.3480129640962325,0.3490315523193454,0.20035188996147657,0.28154508547525003,0.25262272630282,0.30847502289384165,0.40257948508526864,0.4081544924623918,0.4054039242726402,0.42240462420773844,0.26294777115846435,0.32346114013318095,0.16015673590273014,0.2447223419830416,0.15422380455506993,0.26961028017012834,0.30883251711028464,0.1396583611230116,0.2682834182216372,0.2700077040470972,0.32403509189051644,0.19785601069279027,0.3734525852603091,0.30285841283068454,0.3278703051101808,0.30134743819726006,0.3323428456359653,0.19979248774629105,0.316816471687675,0.041622516359464075,0.06512209119567561,0.2877486380465224,0.32244465515534737,0.3787750458337585,0.4061615631298025,0.3146677903970103
