,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,0.20172527331038864,-0.023600731552541117,-0.03308390489058291,-0.025603427561051356,-0.022406222578193496,0.002945056674332508,0.07790059182796792,-0.09922481661203361,-0.13515428743908384,0.032571280994937106,0.008579264623269335,0.05638415685959386,0.07547388287563439,-0.04549234050856342,-0.05190088558592463,-0.013771810709888935,-0.022578610961480734,-0.011784430019799876,-0.050387254280468155,-0.10148827437874647,0.11552000910957154,0.08707553515767023,-0.02856031387780892,-0.03592574035481541,0.08833574288275015,0.04763689094327549,0.11960339268539444,-0.008153490023008528,-0.10357038168348613,-0.11631001289644236,-0.07989845427811472,-0.11257104800733259,0.16762075620612255,0.19224132102932265,0.022821954177222693,-0.03472814052526999,0.04820803308711981,-0.039194454200131366,0.12530820154579908,0.060981893626861156,-0.040123888253813,-0.03964108111341343,0.103012430675747,0.0623448637398638,0.11344678076586985,0.11568857807096154,0.12879529065840783,0.06264611829726219,-0.025057919855957882,0.0033892240308795504,0.13269145857422257,0.012122061096277496,0.027518169314680534,-0.03791074392739369,0.05602566503656964,-0.09677486668701953,-0.10173268639967462,-0.13720870779232272
BAZA3,-0.023600731552541117,0.030287839944896824,0.05935887350205177,0.06536788110017386,0.06785341736257776,0.014797148902082486,-0.019941120714037884,0.014972004519269697,0.026595376265925803,-0.0568326495646631,-0.038637169987106736,0.0075344001671172785,-0.02019262094630913,-0.026908962267760083,-0.013770365499395854,-0.016992166514436954,-0.01645815480067822,-0.0287933409689164,-0.021260026744632936,-1.606551992766863e-05,-0.028338309746210627,0.005021087059119174,-0.013484805393175191,-0.012300674304492623,-0.03690191250590087,-0.004695068328294539,-0.03105806742027066,-0.020632689062278893,-0.0037859010485243104,-0.001313403439617106,-0.009636653891038311,-0.0062839032151330776,-0.013874191038611896,-0.0288786144943802,0.03712643045999266,0.06274133162027944,-0.016602703996513556,0.002345866755344754,0.0034117100549922834,-0.0073425816398695,0.04401479699086624,0.04277532648164256,-0.013986921529551697,0.026194542315997757,-0.019243144271615664,0.002343836639943704,-0.0553590378076662,-0.030662494617446263,-0.0035809949842490803,0.012514521612301011,-0.0611701045218735,0.04578774838592902,0.04183721717596102,-0.012242963056079973,-0.021907885427164354,-0.007996144390572958,-0.009019847711465226,0.0289060763526978
BBAS3,-0.03308390489058291,0.05935887350205177,0.14946295453912525,0.16513734301258975,0.16989955187451145,0.03257948850634207,-0.04256877770624552,-0.026363994398452578,-0.012627063301977354,-0.12507700038963226,-0.0854285920426647,0.05299948282536818,-0.040957622393533226,-0.008093673119104715,0.025385074897928135,-0.01798204296450614,0.01132844961209558,-0.009669652875317014,0.006400216696698817,-0.057801129292810845,-0.052681874800347056,0.03452940647239593,0.02218232183382199,0.02291376245889469,-0.07857570920353678,-0.010178992043321393,-0.06821835001820659,-0.0915094653550106,-0.0661414676166054,-0.06412474815236034,-0.0751441634546766,-0.06918103530501503,0.01130522282925574,-0.037259032245519366,0.10255719954497404,0.15560060952906996,-0.030200452259460716,-0.030003466467582677,0.03171129476298687,-0.007744991005350969,0.08565927814918946,0.08500800328735628,-0.01714144277740036,0.07024496005222527,-0.029568913955913656,0.01721584700645555,-0.12397189671401941,-0.023935397305571066,0.020985657509250376,0.02621296752705291,-0.1250600781705572,0.008110350147544992,-0.002538998638608724,0.0027968021637223006,-0.057224176822273876,-0.06972638850699872,-0.07288064886917797,-0.007545641574524015
BBDC3,-0.025603427561051356,0.06536788110017386,0.16513734301258975,0.18489924607964267,0.1904327135035482,0.03718752138005339,-0.042771113089075594,-0.0223475069664837,-0.009779630426915643,-0.13921043141227057,-0.09635664227978843,0.059541387774036475,-0.042951390831347636,-0.02557003282169166,0.01175794563042358,-0.027704564184598546,0.0007365450482189478,-0.022535693903855944,-0.005467454555825729,-0.06149767735660462,-0.04896670977817556,0.04193839100208771,0.01234205842807199,0.012188473100982901,-0.08126586303472906,-0.008321204492302461,-0.0688810709752419,-0.09856652351938533,-0.07006836977369446,-0.0689143767923307,-0.08027516727074532,-0.07513282183793135,0.023644442099755712,-0.03246727342065755,0.12003222561324689,0.1732823972419285,-0.0327619936617566,-0.03273805970809858,0.040472687719313706,-0.0006932268079074613,0.0982496374856445,0.09706577112075652,-0.014008026402403676,0.08337593988567168,-0.026383684720450638,0.027492672912645122,-0.13040959428222954,-0.033382471178530417,0.013233193709690894,0.029282696385451057,-0.1343608245530038,-0.017582663439015676,-0.02761464933357096,-0.007570908344922765,-0.059120668206310595,-0.07671797728196324,-0.08016938313890576,-0.004215074621549002
BBDC4,-0.022406222578193496,0.06785341736257776,0.16989955187451145,0.1904327135035482,0.19632118532513304,0.0387648697375748,-0.04254649466045269,-0.022949071963371058,-0.01006428916933659,-0.14400303329400205,-0.09999865534575626,0.061423774467488916,-0.04283753018177515,-0.03025256936697073,0.008147374153673184,-0.03005150011617192,-0.002199597266736922,-0.02649499029347993,-0.009792417570810875,-0.06366772709763568,-0.04865252947658421,0.04464184144934455,0.0094696592391035,0.009255265739448189,-0.08248556265819548,-0.007416088190435412,-0.06855229954661145,-0.10023781135653367,-0.07268839191452178,-0.0715995153660334,-0.08284253156107374,-0.07829338841588016,0.02647203003502362,-0.030176278891180075,0.12409987702786365,0.1783454146633552,-0.033118399955368465,-0.03314027980865965,0.04411951778991787,0.00016726363105919184,0.10165972211467812,0.10033784261656607,-0.01262529926792598,0.08763860927449332,-0.025225401593959796,0.03089794209233001,-0.132241439959573,-0.035220686759764606,0.011792066900519482,0.030670094335692503,-0.1368151308259151,-0.010932180583981094,-0.02089628610660666,-0.01027844725569066,-0.059588314313038446,-0.0796225978928154,-0.08331175399274546,-0.00432557840902655
BEES3,0.002945056674332508,0.014797148902082486,0.03257948850634207,0.03718752138005339,0.0387648697375748,0.008696676157571,-0.0053513641667447915,-0.00048184060974261695,0.002245105144545032,-0.029933924630044642,-0.021499990115093737,0.0106689512590714,-0.0059681563774651464,-0.017739712465051717,-0.010354640973589723,-0.01069380709789461,-0.009638767388577048,-0.015379157354801958,-0.01364517338261709,-0.009963446598847665,-0.0058531156907848,0.010720877991850527,-0.008082212083117497,-0.008255204893492761,-0.01371791742936591,0.0009203898090398887,-0.00862945953924115,-0.015026099883676135,-0.012010475112407375,-0.01193447311426595,-0.013644638826857512,-0.014162491371184908,0.008310545744020438,-0.0005132593500945266,0.025390811238054395,0.034613074418399704,-0.0057588145556915615,-0.003725358397806376,0.012523311166474092,0.0021914841682119154,0.02214701274459529,0.021534887370140816,0.000584617881058699,0.020676005456526612,-0.0014460807393837528,0.011179161852599925,-0.021754750549386703,-0.01166633171975632,-0.0036828448311198086,0.0071170691035828786,-0.024519880198886502,0.011572051632169272,0.010562001629303229,-0.009345851470737274,-0.008589929290659486,-0.014196415566776572,-0.01511533178718845,0.003395843289118346
BOBR4,0.07790059182796792,-0.019941120714037884,-0.04256877770624552,-0.042771113089075594,-0.04254649466045269,-0.0053513641667447915,0.036388018099181754,-0.025079143123902643,-0.04031915653710566,0.036438621819155505,0.019919491030859465,0.007401284418189781,0.03473297291593824,-0.019628704935466347,-0.028763474659628606,-0.0035252656705501767,-0.014511028391784232,-0.006792530991976749,-0.023522245914498002,-0.020443091763925392,0.052104316828418665,0.02288109469845672,-0.01904344748779393,-0.021854517237629458,0.04750809915180333,0.01912733886342799,0.056517901985130056,0.018218578624313284,-0.019338604146795474,-0.024226232379855567,-0.00954151462403414,-0.022284685183804758,0.05616384098865718,0.07469602216647876,-0.0124403771627517,-0.04405127135019456,0.022655216770774582,-0.005892451150486292,0.03697940225685047,0.02389851179532317,-0.030052478734094515,-0.029935477720676944,0.03952656548291801,0.0079426093197396,0.04596797507255722,0.03772356608314148,0.07112088714146783,0.02327142544079514,-0.01616531928275824,-0.00402522148077537,0.07163608478140455,0.0011048761146404524,0.009024860137123624,-0.017100493759283672,0.03220224954743811,-0.0170463384877187,-0.01807601572582953,-0.04207068283196796
BRAP3,-0.09922481661203361,0.014972004519269697,-0.026363994398452578,-0.0223475069664837,-0.022949071963371058,-0.00048184060974261695,-0.025079143123902643,0.198370245147027,0.22134504887840578,-0.008327938443559186,-0.003092400379210764,-0.09221950795751171,-0.03883307199952712,-0.1362823867916178,-0.14122622753715433,-0.0613911282821482,-0.12139673391856218,-0.13405427688610838,-0.11182654829538426,0.1755770965169703,-0.030403367510207308,-0.07731647294528508,-0.12688649616400183,-0.1252333577148392,-0.019891008661894558,-0.015313755576214496,-0.03589278499430192,0.09801907441405404,0.1827938909850933,0.18950776356650467,0.1600888866191287,0.17603012138573393,-0.10998876373677464,-0.1153032589206545,-0.01947720179632521,-0.015867847919177218,-0.03487898292477751,0.08252897238667085,-0.0958008774608892,-0.004872430555791507,0.051981211752940966,0.04610795720553753,-0.059995430801054524,-0.03866814447746844,-0.055815407038852675,-0.051042873560325525,-0.02935715383772613,-0.1427140818432963,-0.08560984882510803,-0.003490369156251037,-0.06463982097557293,-0.06049066687663397,-0.05651227355462484,-0.0783736392320193,0.00617738622934721,0.1539203143106498,0.15956470506285897,0.22165442102107166
BRAP4,-0.13515428743908384,0.026595376265925803,-0.012627063301977354,-0.009779630426915643,-0.01006428916933659,0.002245105144545032,-0.04031915653710566,0.22134504887840578,0.25487232016238476,-0.0250851826156828,-0.012355266425828099,-0.10463427716586898,-0.05327990233014302,-0.14076701957346524,-0.14304091007418182,-0.06425912421823708,-0.1274323340727738,-0.14556911351811122,-0.11721658510281499,0.1971865224159588,-0.056109097996101726,-0.09198351710607902,-0.1323605877383664,-0.12872676611855843,-0.0414044662283073,-0.022795287529415734,-0.058942876517999385,0.10269375436278695,0.20330878410562947,0.213261428193427,0.17611832810821298,0.197203655759454,-0.1455246369732098,-0.15204356251345344,-0.02097634244607893,-0.0016049405873176385,-0.04547517425100106,0.09466689520331772,-0.11567309776197086,-0.018986973892202903,0.06734836874585066,0.060910857469060345,-0.07936228784362334,-0.04430621208114572,-0.07807824767968166,-0.06921314485165841,-0.05888502375543171,-0.16238906783304627,-0.0849848817628125,-0.0005767028448541551,-0.0970930276497921,-0.014126251768833226,-0.013165061075415943,-0.07846145449977396,-0.004998686981366944,0.17296182184562445,0.17901679596740716,0.2559863378471467
BRKM3,0.032571280994937106,-0.0568326495646631,-0.12507700038963226,-0.13921043141227057,-0.14400303329400205,-0.029933924630044642,0.036438621819155505,-0.008327938443559186,-0.0250851826156828,0.11294616611599188,0.07765054161877386,-0.030507352916150587,0.0370253949785474,0.04098990559396738,0.012975236353266154,0.02970828525767816,0.019228922629296052,0.041159330737436606,0.027009983400743905,0.02290843567292953,0.04705027810798939,-0.021841679949313037,0.011815782322955777,0.010739292127535327,0.06883653531990867,0.007526115395757621,0.05761070785760729,0.05837893485840237,0.03010065797324913,0.027186107977037847,0.04010650940745879,0.034940831577582314,0.004108298724539522,0.041172667124272824,-0.0854312280033232,-0.13190301812194205,0.029747299898144817,0.009630030350056244,-0.019985068733379532,0.006956702822335934,-0.08420703080651352,-0.08236865106589983,0.019165010558482253,-0.06020991050530852,0.029210277030342346,-0.014361338641235163,0.10660955177959051,0.046120467430861276,0.0003939059506302828,-0.02444705252133724,0.1146997790005005,-0.04050349825976852,-0.0328183075314444,0.01763535752509108,0.0447315850819949,0.037405882872070154,0.03981519653947513,-0.02962701618914079
