,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,0.26809870076941505,0.1810522222472624,0.38568302701792573,0.40374747773439634,0.40364654510030196,0.18647953004862966,0.17467633620638864,0.3360994156967197,0.37368898999749794,0.24742158544431178,0.33527128181585486,0.35319433555529406,0.1919819656904414,0.3410353042206888,0.37364975683924634,0.2191158476406102,0.34590737504898356,0.33609284893766744,0.3834613430791197,0.3862328498270245,0.19340603162205056,0.3893011808405946,0.36429330720638037,0.3665634721194787,0.1425061424908262,0.2969188388820667,0.21130924646568544,0.270996712552009,0.40360702334649035,0.4128060562352786,0.3958254577663918,0.4198442880914902,0.2804707848862887,0.3058794272939628,0.2661118427868056,0.4081000836674598,0.1348790531550079,0.2817068974693683,0.3562969956583012,0.14379158599468883,0.38194820895828807,0.3818245801715617,0.3303481891517535,0.2796325876815819,0.3730107679189975,0.3437299258886211,0.23975159803728846,0.27655638509028113,0.35969003792295934,0.24297932332348246,0.2190076610168629,0.0889893166727844,0.10612531483227955,0.2926867493728007,0.3009216562073526,0.36989751281571304,0.3969620707833057,0.3730676535826322
BAZA3,0.1810522222472624,0.12226805682607639,0.2604591850846169,0.2726584569815222,0.272590295227483,0.12593322243649308,0.11796229803954526,0.22697441626259285,0.25235938060950275,0.16708856756139848,0.22641516148433938,0.23851894527616588,0.12964912332621573,0.23030771695918206,0.2523328857012214,0.14797315701669672,0.23359792033531665,0.22696998160358117,0.2589588390810835,0.2608304910295688,0.1306108225094065,0.26290259412817674,0.24601429484825066,0.24754738098855886,0.09623714590112818,0.2005150172395307,0.14270120871235245,0.1830093054850087,0.27256360542505514,0.2787758897153593,0.26730856414064635,0.2835289434026823,0.18940732921630585,0.2065662753767798,0.17971045873998398,0.2755978556973166,0.09108642540317256,0.190242099879021,0.2406142314708218,0.09710523068587247,0.25793699043225193,0.25785350152870146,0.22309050207865522,0.18884127848141574,0.2519013641620628,0.23212744693062404,0.1619088771687753,0.18676385955458244,0.24290561833853958,0.16408862229320886,0.14790009650356978,0.06009620148711669,0.07166847146939455,0.19765700558858668,0.2032181969636882,0.2497989229594213,0.2680761408277278,0.25193978014761415
BBAS3,0.38568302701792573,0.2604591850846169,0.5548381879614082,0.5808254531504954,0.5806802528801073,0.26826683389224637,0.2512869249389756,0.4835079008322262,0.5375837346912961,0.35593721920275284,0.4823165590576058,0.5081004125406454,0.2761825605563995,0.49060860076655655,0.53752729442064,0.31521698219012806,0.4976174934598434,0.48349845398484603,0.5516421046378535,0.555629155335469,0.2782312018127721,0.560043213254476,0.5240672373364835,0.5273330647090179,0.20500733590567188,0.4271432730932035,0.30398651533883114,0.3898520660824074,0.5806233974399303,0.5938569970060722,0.569428946443869,0.6039820985428094,0.4034813335334812,0.44003384978247345,0.3828247610181714,0.5870870509384083,0.19403511226589917,0.4052595877413862,0.5125638558057611,0.20685655688364554,0.5494653311349174,0.5492874804979901,0.47523426706763666,0.40227551480246343,0.5366080539309054,0.49448504566753365,0.34490328300000195,0.3978501329422444,0.5174450387718756,0.349546643281827,0.31506134643206596,0.1280187816207862,0.15267038799620086,0.4210550485406034,0.43290166990074286,0.5321293688471367,0.5710640619727889,0.5366898888479773
BBDC3,0.40374747773439634,0.2726584569815222,0.5808254531504954,0.6080298983510906,0.6078778972547788,0.28083179698429567,0.26305659057957065,0.506154229640473,0.5627628434438722,0.3726084489536718,0.5049070883277176,0.5318985945149127,0.2891182769463454,0.5135875090118814,0.5627037596488288,0.3299809755237095,0.5209246811153716,0.5061443403258414,0.5774796730924733,0.5816534675039308,0.29126287155409475,0.5862742691118008,0.5486132663753549,0.5520320571232179,0.2146093786624324,0.447149620443577,0.3182245010424507,0.408111784403205,0.6078183788446885,0.6216718078832665,0.5960996071133337,0.6322711444391693,0.4223794134437818,0.46064396025177573,0.40075533753829384,0.6145847740815686,0.20312324287380706,0.42424095673430073,0.5365710945578491,0.21654521263314971,0.5752009448367736,0.5750147641105228,0.4974930790838117,0.42111711710936034,0.5617414641803679,0.5176455171214089,0.3610577101363895,0.41648446117453763,0.5416809002087917,0.36591855406953927,0.32981805016697624,0.13401486858694617,0.15982109597820818,0.4407762383271826,0.45317772648914006,0.5570530084292304,0.5978113074588484,0.5618271320450232
BBDC4,0.40364654510030196,0.272590295227483,0.5806802528801073,0.6078778972547788,0.6077259341571467,0.28076159198099476,0.2629908291914077,0.5060276963926561,0.5626221586364327,0.372515300750122,0.5047808668521463,0.5317656254459373,0.2890460004099797,0.5134591175221973,0.5625630896117183,0.329898483741352,0.520794455409629,0.5060178095502494,0.5773353092320023,0.5815080602386402,0.291190058891574,0.5861277066945808,0.5484761188137525,0.5518940548997918,0.21455572856903415,0.44703783772909683,0.3181449482553873,0.4080097607382253,0.6076664306260345,0.6215163964526763,0.5959505884646817,0.6321130832856279,0.4222738230212104,0.46052880409390007,0.40065515290786075,0.6144311343350853,0.2030724641938656,0.4241349009454344,0.5364369574128778,0.21649107860156586,0.5750571506344624,0.5748710164514401,0.49736871103277785,0.421011842247631,0.5616010347070299,0.5175161111722661,0.36096744949637594,0.41638034442819505,0.5415454856660098,0.36582707826953303,0.3297355991142489,0.13398136627562476,0.15978114238074806,0.4406660488913743,0.4530644368113837,0.556913751020648,0.5976618609030661,0.5616866811556177
BEES3,0.18647953004862966,0.12593322243649308,0.26826683389224637,0.28083179698429567,0.28076159198099476,0.12970825680004525,0.1214983921701265,0.23377830966308588,0.2599242258134444,0.1720972941872821,0.23320229039675663,0.24566890298672805,0.1335355473078437,0.2372115309718077,0.25989693668115055,0.15240887097536263,0.24060036305423338,0.23377374206861976,0.2667215128010358,0.2686492702813691,0.13452607484461507,0.2707834877311445,0.2533889367339178,0.2549679793958648,0.09912199650526603,0.20652575107006702,0.14697888823318916,0.18849527974731367,0.28073410211231453,0.287132608800635,0.2753215332029731,0.29202814229316193,0.1950850936907341,0.21275840460853648,0.18509754519824786,0.28385930851849983,0.09381687555204817,0.1959448878371374,0.24782699848010017,0.1000161034137159,0.2656690327295418,0.2655830411227826,0.2297779694143992,0.1945020747489294,0.259452479646438,0.23908581003713983,0.16676233492401143,0.1923623821211254,0.25018707305387733,0.1690074211283389,0.15233362036543407,0.061897673897204714,0.0738168397660659,0.2035820662982022,0.2093099625994314,0.2572870146631469,0.2761121191350681,0.259492047207902
BOBR4,0.17467633620638864,0.11796229803954526,0.2512869249389756,0.26305659057957065,0.2629908291914077,0.1214983921701265,0.11380816968870644,0.21898134667017574,0.24347236098532912,0.16120442180344483,0.21844178645678156,0.23011932667555393,0.12508343490015367,0.2221972627518864,0.2434467991145646,0.14276217438120994,0.22537159921671132,0.21897706818091525,0.2498394147141014,0.2516451550742968,0.1260112671452781,0.253644287551182,0.23735072204638702,0.23882981944024334,0.0928480846261633,0.1934537346795349,0.13767588158103272,0.17656449933069204,0.2629650792898362,0.2689585934584768,0.25789509811655775,0.2735442648939811,0.18273721199045842,0.19929189334853048,0.17338182387951567,0.26589247622599765,0.08787875050676595,0.18354258559551986,0.2321408258388533,0.0936855991721519,0.2488535512106334,0.2487730024297067,0.21523420735661503,0.1821910951449965,0.2430304739210996,0.22395290960532477,0.1562071379853473,0.18018683404065358,0.23435151984700386,0.15831012179561943,0.142691686747333,0.05797986992589479,0.06914461398153442,0.19069636999311704,0.19606171995838095,0.24100207171863877,0.25863564403083933,0.2430675370597044
BRAP3,0.3360994156967197,0.22697441626259285,0.4835079008322262,0.506154229640473,0.5060276963926561,0.23377830966308588,0.21898134667017574,0.4213478726584091,0.4684716890831893,0.3101777444647579,0.4203096904043417,0.4427787582216731,0.24067638637443972,0.42753570290185733,0.4684225048031966,0.2746925223827941,0.4336435286911037,0.4213396403026604,0.48072270764944497,0.48419718102770826,0.24246165324128333,0.48804376535603744,0.4566928796853684,0.4595388505857786,0.17865148576588777,0.3722295108898779,0.2649058502134045,0.33973248092238745,0.5059781503175529,0.5175104314141176,0.49622286378624575,0.5263338446109062,0.3516095626340162,0.38346286830971593,0.3336086098662143,0.5116108331475483,0.16908985692591824,0.35315920355251407,0.446668378890231,0.18026296992944205,0.47882578128455483,0.478670795218368,0.4141379015703167,0.3505587645886244,0.46762144235076414,0.43091379002244606,0.30056233686112727,0.3467023121308776,0.45092203442572226,0.3046087443207902,0.27455689523904697,0.1115606202161248,0.1330430032051416,0.3669239916644643,0.3772476051973412,0.46371853935971724,0.4976477680090625,0.46769275652817077
BRAP4,0.37368898999749794,0.25235938060950275,0.5375837346912961,0.5627628434438722,0.5626221586364327,0.2599242258134444,0.24347236098532912,0.4684716890831893,0.5208658633726612,0.34486822242300214,0.4673173958597049,0.49229941863840687,0.2675937878501636,0.4753515702313216,0.5208111782912364,0.30541431033524186,0.48214249917576135,0.4684625360154916,0.5344870437159074,0.5383501044260991,0.26957872010886397,0.5426268932137672,0.5077697043742281,0.5109339704861817,0.1986319825609222,0.4138598982189743,0.2945330904710697,0.37772837956906413,0.5625670712965001,0.5753891301102861,0.5517207472603112,0.5851993595003122,0.3909338017199352,0.42634960154023216,0.3709196108447494,0.5688297169882633,0.18800097501652552,0.3926567554730438,0.4966240569782079,0.20042369614729438,0.5323779638892555,0.5322056440819837,0.4604553502025184,0.3897654817469301,0.5199205245001435,0.47910746478293675,0.3341774214635107,0.38547772117191875,0.5013534440780336,0.3386763817297322,0.3052635145647165,0.12403763156100304,0.14792261804711154,0.40796100631924503,0.41943921941351103,0.5155811183343839,0.5533050136856598,0.519999814500908
BRKM3,0.24742158544431178,0.16708856756139848,0.35593721920275284,0.3726084489536718,0.372515300750122,0.1720972941872821,0.16120442180344483,0.3101777444647579,0.34486822242300214,0.22833919287221188,0.3094134804188088,0.325954218436147,0.17717535441806728,0.3147329525305634,0.34483201512252376,0.20221653541634332,0.3192292648411943,0.3101716841670717,0.353886882662822,0.3564446369214894,0.1784895892486158,0.35927632287098016,0.33619718177327673,0.3382922601918101,0.1315153546415679,0.2740189700794924,0.1950120184452127,0.25009608803543926,0.3724788271120195,0.380968384485354,0.3652974148651814,0.3874637926301561,0.25883947243392486,0.28228847300890814,0.24558796390605334,0.37662536010498365,0.1244765046569251,0.2599802498200721,0.32881758584366416,0.13270165830067568,0.35249044902815074,0.35237635511299703,0.3048700813320342,0.2580659211980988,0.34424230822996676,0.3172197514719197,0.22126075333059025,0.2552269707663988,0.331948939685335,0.2242395402676283,0.20211669268717453,0.08212601461923259,0.09794039872712,0.2701132805214313,0.27771307007335244,0.34136916296168834,0.3663463665903274,0.3442948065861511
