,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
ALPA4,0.5301760259202003,0.0016843593222862017,-0.039340633746162736,-0.03920096778042219,-0.0172091676067292,-0.01542425145631076,-0.05049325057365,-0.0035293828451766402,0.028356993551589382,-0.025480966939176158,-0.017217483109768526,-0.0355510942259396,-0.03999997282781921,0.031648867779918176,0.02743912602843608,-0.00466746563408658,0.011311665781768943,0.025801793843789195,0.029419842780227565,0.02001670566355842,-0.09553261509336808,0.0005542725353463378,0.015340486046578753,0.021856622292112927,-0.056780935127297386,-0.025916014817719133,-0.04968196187944979,-0.04552216755372258,0.011049001229037235,0.03339825315840586,0.018079107264433694,0.028102955908202998,-0.026743846922806878,-0.00167826336149062,-0.04337973505212825,-0.028747545956584932,-0.030822510438093247,0.04424250602434252,0.0035386743742854354,-0.05676300266318784,0.02816504842783962,0.026148816851782213,-0.06659516289430749,-0.033286499559091375,-0.021502989750518675,-0.04058058236175746,-0.05298685384130436,-0.020101723942303976,-0.0015527004185907998,-0.0021074149970125734,-0.09669084814691509,-0.01756048397774715,-0.009585646625503114,-0.01137588545775536,-0.04862143932335081,-0.001721966974537975,0.007859994016395169,0.014872102319403903
BAZA3,0.0016843593222862017,0.8474441032290255,-0.016688714388421625,-0.05979594782866526,-0.04612584867683642,0.11087214246385736,0.011860848654925154,-0.004023345768291959,-0.018009297427682494,0.052837138577160055,0.001737803374305634,-0.026318064931577068,0.00672120588315787,-0.015911399323711658,-0.024841875405429106,-0.00023842337581724037,0.025468646253330226,0.02449037870570844,0.006759702100876549,-0.03302420071223247,0.03233416160396702,-0.02520413462284094,-0.012345834422605539,-0.015284667537742906,-0.018893899458502065,-0.03529571085213951,0.01781912341169884,0.014688671082190238,-0.0346835776371592,-0.03341614686428552,0.013926364177112778,-0.04047995024201019,-0.012128784359731559,-0.01254010909131705,-0.0788171994160774,-0.04780042509071381,0.003528937167092798,-0.006414764114267489,-0.029544115855983037,0.03950104636749789,-0.007711451443670651,-0.006704478051826051,0.02624954610683972,-0.03962579890844767,-0.030665472272899355,-0.03815974143604388,0.031051047702362385,0.048346068643338215,-0.005538649484834964,0.001657081827135459,-0.008797943608517317,-0.02245528397726669,-0.03459988400372307,-0.004024325578795256,0.051696577086701265,0.003271084907837229,0.015385144469400697,-0.015320247041745413
BBAS3,-0.039340633746162736,-0.016688714388421625,0.29569885749946495,-0.00964211227820999,-0.002949763222970909,-0.03507329987463555,-0.000335264408451074,-0.0433811381977182,-0.024819592552566792,0.04463211462606517,0.038483090506966564,-0.010624313989748096,-0.012461645725631444,-0.012883032734509157,-0.012319466396900574,0.02201584526686918,-0.03433629448175336,-0.014775650528259346,-0.023345176525540877,-0.002062553494126542,0.0037698126726898175,0.0002794085159890193,-0.009373961357132591,-0.023719016355716386,0.028212801336966093,-0.05378048185290441,-0.006602352112566464,0.050567702073513444,0.0012018590914573684,-0.011913135017323447,0.012037286367383262,-0.016088532598723292,-0.019138492638368258,-0.009689924650752964,-0.03357863792735884,0.008436511675461666,0.014792395299377432,-0.02518204312777419,-0.0221604007012341,0.012486576536507338,-0.03833095175474446,-0.03419714487190481,0.004700896200102393,-0.03993341472861161,-0.0018237186136762376,-0.006404653681639111,0.001630527185560581,0.007866290575650099,-0.013255155874152063,-0.0003638651991205972,0.07069490102900713,-0.012475946974608328,0.008493539296784928,-0.0031822026949571845,0.020455947285633307,0.03926301079129616,0.029606551540968903,-0.03728369826479119
BBDC3,-0.03920096778042219,-0.05979594782866526,-0.00964211227820999,0.20707085556926574,0.14704029846322403,-0.06334961967202019,0.003428904333355251,-0.024019110929056932,-0.028428295169495944,0.08030735489136515,0.05838244097242413,-0.032678358425927256,0.01650076696730365,0.0004873857923812722,-0.010190397904673491,-0.013449926886132457,-0.016950185379866152,-0.018884751456604756,-0.011964875631574003,0.013187476640537266,0.02410687923215181,-0.04478465793952391,-0.004608137521749297,-0.008409277046483993,0.03379125933684978,0.006623782661912385,0.016217672708576138,0.014251218828920517,-0.0020201790960415566,0.004097080488728426,0.007388659980848515,0.00468681590546583,-0.024553084555882957,-0.012593374586345275,-0.014255653252999538,0.03402307713354731,0.0030982887466731216,-0.015079751951242266,-0.034456495030001914,-0.011308176452592003,-0.07036284005565137,-0.07519406838905897,0.005354345470416642,-0.044933687317798496,-0.014207230031409054,-0.024455508806409433,0.024286940787535308,-0.003650052811776089,-0.018419431414665295,-0.04678906097147596,0.07294739127214604,0.007412836223872385,0.0102533417573966,-0.02062875582120462,-0.0012497607920897262,0.0094921894839923,0.004103916167296838,-0.021109887778519278
BBDC4,-0.0172091676067292,-0.04612584867683642,-0.002949763222970909,0.14704029846322403,0.19595288051771897,-0.048399983158079106,0.008148969051713093,-0.026185667083393552,-0.03763770098636207,0.0818715284357977,0.059613329075923975,-0.049003057534500676,0.013833010195065087,-0.00520905578797848,-0.009818679073569099,-0.015843016564382636,-0.0028737586633734934,0.008655179614729535,-0.006632779013081332,0.009364777802985958,0.0249793608421435,-0.03673518238671444,-0.02123012506422445,-0.023334008782811,0.025189927372419145,0.012454432395193461,0.021070394705547345,0.010360605178824261,2.6849910265758226e-05,0.002610232841633553,0.007166735272209093,0.0017139052036174718,-0.0375938733401044,-0.005912860154362553,-0.024950792248983642,0.05226722176296461,-0.0017256302495211727,0.001069251539839796,-0.028187265947741375,-0.015751185824210746,-0.06421643748614705,-0.06598498127022553,-0.012074336400778013,-0.06210192978362385,-0.015481455433332738,-0.03179226107260441,0.030992229651470884,-0.01396621187318359,-0.026805398840288305,-0.057316513640094595,0.06708890611309971,0.0032705893155649235,0.010139283229173785,-0.012913384454215766,0.0009146690100767777,0.012563301263124193,0.009982623254316644,-0.028078665133805775
BEES3,-0.01542425145631076,0.11087214246385736,-0.03507329987463555,-0.06334961967202019,-0.048399983158079106,0.861595067042383,0.02359449579421917,0.0006092639682822352,-0.0203315661029386,0.013909044902104402,-0.003728311217394168,-0.03560734366883984,-0.006015377525414242,-0.01194530239334084,-0.011923569521545909,-7.357411698632362e-05,0.030609396411150767,0.011122272854030087,0.008414462449009362,0.008597802433006724,0.011457098066471626,-0.04571978537265525,-0.012543146598596743,-0.006526472396417705,0.009635277645068075,-0.010769143104799456,0.012762978951389212,-0.020831257444641108,-0.01416479173336842,-0.023533559554809458,-0.0018386348201676007,-0.02613946893166268,-0.004079587900272389,-0.024042684917775448,0.0069834334068766355,-0.02662034973636114,-8.761752361659116e-05,0.004570897391839596,-0.023578948824727376,0.015939871083978416,-0.021283711347442717,-0.02110882266479246,-0.0017992119968461482,-0.0036131666908107113,0.004747861402389269,-0.040689268212502946,0.00944186183786561,0.013979918887424793,-0.004016840539608569,-0.024814702326115035,-0.02751505405198849,0.00043854890458862366,-0.017616631869525494,-0.005953933823014911,0.00808626702645385,0.01924275262067124,0.0074623130323939356,-0.027493406659152418
BOBR4,-0.05049325057365,0.011860848654925154,-0.000335264408451074,0.003428904333355251,0.008148969051713093,0.02359449579421917,0.8498038122121111,0.00594290371248167,-0.009014874949992785,-0.04732969774974753,-0.026556380307486225,-0.021572605916236425,-0.004471318226768613,0.01008423594251426,0.000417933593069976,0.020338041783268524,-0.006026460443520118,0.011350530083576742,-0.021528684288941176,-0.031131313628436696,-0.04823473836178554,-0.036430104387817984,-0.007290013385562161,-0.017017155589922346,-0.03255844577294071,0.005665620409208626,-0.03144551579350369,-0.035060777578253405,-0.003229440561034778,-0.018016315660123856,0.015244084514358597,0.0034103204319683236,-0.057805466590866654,-0.04277686162548231,0.0031555521356611306,0.024006174714748457,-0.023342291515317748,0.00862736781287303,-0.0622990175195478,-0.019819396982599758,0.020563273739012494,0.019330843259815707,-0.0030260283953583837,-0.016265527371581646,-0.03501246957260376,-0.010312859431795402,-0.04027139575855702,0.0407302121405847,0.018443047859327925,-0.010758665375614403,-0.033290750568765556,-0.013741381767274264,-0.006893508459243083,0.01571904272599807,0.010368318743212474,-0.0032664606382216614,0.0064272521938249375,-0.017035570993547102
BRAP3,-0.0035293828451766402,-0.004023345768291959,-0.0433811381977182,-0.024019110929056932,-0.026185667083393552,0.0006092639682822352,0.00594290371248167,0.38028188219456277,0.14011018376049716,-0.011862263186851508,-0.017264925158658535,0.014493552396929872,0.008221947843196681,0.042209603210675274,0.019877229782604443,-0.02001012297190166,0.0017174934184082365,0.03417091636216915,0.021820934626205164,-0.03310381535210086,0.004485001506158145,-0.01611492312472999,0.02718870559394744,0.017723532548681364,0.02604561564201307,-0.01623449735027298,0.002891727154687079,-0.03052992381059225,-0.08358119338167502,-0.08184820236726513,-0.05887022538291792,-0.07001650281673978,0.03136269039532294,0.020490571481774862,0.014176136532442023,-0.031503143033751305,-0.018744620571477067,-0.056911320383761205,-0.0002672406305677974,-0.00448083573432955,-0.03339588188791754,-0.03945698083243494,-0.022009675234548855,0.03291918436640628,0.002939835250370758,0.00031837227376568935,0.02059290999344708,0.005034798998825871,0.020120133926528606,-0.025349709414545462,0.02164065729303553,0.024866103062237643,0.0016585722611125692,0.0180557926891815,-0.0009005849379274197,-0.08450892643703102,-0.07790746383167468,0.08822188648987593
BRAP4,0.028356993551589382,-0.018009297427682494,-0.024819592552566792,-0.028428295169495944,-0.03763770098636207,-0.0203315661029386,-0.009014874949992785,0.14011018376049716,0.22426181646495277,-0.02154245423709538,-0.030031477690693635,0.01812491013537288,0.017905089827233423,0.019036898315141156,0.011127708202857052,-0.0033639903505130204,0.010507671248547519,0.02053351079388204,0.022723760092048732,-0.010407243100641311,-0.0021070868125734597,0.0011362117350625905,0.023444292093258535,0.02002523056172437,0.0011573704703433604,-0.030463012829860327,-0.0009094618421575689,-0.0035597041036138045,-0.07246844283538066,-0.07050928540129418,-0.07141097048678628,-0.05883906078909208,0.024392933813313054,0.012927031023070313,-0.011940653078799242,-0.016942277241826884,0.02735042291772185,-0.020566110281925086,0.034775977255341,0.0008717305770252402,-0.04326101822452668,-0.04682275879428718,-0.008718398854874595,0.005455914900697559,0.010021629645289507,-0.00517753705035411,0.021816372995570682,0.007237205062057821,0.010827643033042032,0.002902948673464542,-0.008991801248876103,-1.1897883033062552e-05,0.002023615676276549,0.023550313779658914,-0.007522259904899104,-0.06842098526143685,-0.06479485940784567,0.1373505601600533
BRKM3,-0.025480966939176158,0.052837138577160055,0.04463211462606517,0.08030735489136515,0.0818715284357977,0.013909044902104402,-0.04732969774974753,-0.011862263186851508,-0.02154245423709538,0.6587146410117956,0.3104271524900647,-0.0028462902144860015,-0.0057999125807031305,-0.057238790340552334,-0.06684685361474911,-0.00973862618389745,-0.016292349378241575,-0.04047536511520494,-0.07061966940358111,-0.042481695032670935,-0.014364489714128778,-0.01797732166468982,-0.028505777952483432,-0.0305374211131947,-0.06063229592605374,-0.03128530640857081,-0.030617844418237113,-0.024327899620622706,-0.06333370231058971,-0.04488303777330996,-0.03181821064507226,-0.05651976557019651,-0.050975615375988985,-0.03203248766116742,0.06595733434372837,0.060286259572701686,-0.018964783740734036,-0.019265254631569518,-0.0052978529356391925,-0.04000936666314905,0.04871735380748455,0.04926766654096698,0.0013082919207934357,-0.019218296824979938,-0.049743668538577944,-0.027636526900875636,-0.07920918581856741,-0.00812579266185637,-0.022961393961320457,-0.01702092501742467,-0.03891600883300779,0.014086389502655002,0.008435936648755157,-0.052635353170047514,0.0035552938155346495,-0.022937636695726623,-0.05237572882537341,-0.010096194609924593
