model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
HV_20d,Classical,BBDC4,5,train,0.014979540334256186,0.020874559768909715,-5.1366487569674595,0.23071138160450755
HV_60d,Classical,BBDC4,5,train,0.015368768493745464,0.021856273670203496,-5.150102864247769,0.1566518500174312
EWMA,Classical,BBDC4,5,train,0.01483509104586817,0.020682702910833586,-5.177638541360274,0.24478737058090105
HV_20d,Classical,BBDC4,5,validation,0.01769398492878711,0.030341672881417828,-4.843380503639706,0.1178453992644587
HV_60d,Classical,BBDC4,5,validation,0.018308649045523897,0.030961565639687983,-4.7896702535721625,0.08143162961124395
EWMA,Classical,BBDC4,5,validation,0.017621288118518014,0.029111600816702277,-4.858032864903465,0.18792183247664707
HV_20d,Classical,BBDC4,5,test,0.016919145131020462,0.02699768442401621,-5.039150858158872,-0.32250115002765534
HV_60d,Classical,BBDC4,5,test,0.017346008950889696,0.025274169847893782,-5.157325786601506,-0.15903573092537737
EWMA,Classical,BBDC4,5,test,0.01689618636869716,0.024870915359515813,-5.18285691617708,-0.12234548617750218
HV_20d,Classical,BBDC4,20,train,0.024169131680465365,0.03426391668121276,-3.708981070863604,0.23649795307587962
HV_60d,Classical,BBDC4,20,train,0.02428198250792545,0.03611833555950673,-3.734068580866662,0.1516175965454326
EWMA,Classical,BBDC4,20,train,0.02309728588422813,0.03319702409169531,-3.761225201157244,0.2833047892761842
HV_20d,Classical,BBDC4,20,validation,0.03426866253750385,0.0608935823974028,-3.1107066820075437,-0.14259857405441223
HV_60d,Classical,BBDC4,20,validation,0.033828183414467715,0.06014013818593833,-3.110782235745362,-0.11449845803570469
EWMA,Classical,BBDC4,20,validation,0.03265342921554039,0.05707923394708376,-3.173961234208703,-0.00393801705590846
HV_20d,Classical,BBDC4,20,test,0.028300224160956688,0.043548500290465364,-3.685903094746829,-0.600834604258762
HV_60d,Classical,BBDC4,20,test,0.027934036551507318,0.03910631915928315,-3.7707599976204227,-0.2909039727293705
