horizon,feature,importance
5,rolling_mean_return_5d,0.029905747682210587
5,rolling_mean_return_20d,0.03372118422972289
5,rolling_vol_5d,0.006507732652539934
5,rolling_vol_20d,0.028480107429206373
5,rolling_vol_60d,0.00832970409876596
5,rolling_vol_120d,0.04183278286806755
5,rolling_abs_return_5d,0.014585348327018242
5,rolling_abs_return_20d,0.5583196037465898
5,rolling_abs_return_60d,0.05756396071156563
5,rolling_skew_60d,0.020216335716693304
5,rolling_kurtosis_60d,0.016817500097786417
5,ewma_volatility,0.034500800478113366
5,lagged_rv_5d,0.019472049847366456
5,lagged_rv_20d,0.1238223534984777
5,abs_r_t,0.0006988620579848709
5,r2_t,0.0007900254444953205
5,largest_eigenvalue,0.0
5,market_mode_share,0.0
5,number_of_eigenvalues_above_mp,0.0
5,mst_original_degree,0.00020442085295639635
5,mst_original_betweenness,0.00012883749728229146
5,mst_group_degree,0.0001346603080753708
5,mst_group_betweenness,0.0001563501768264945
5,pmfg_original_degree,0.0005301490060726598
5,pmfg_original_betweenness,0.00046411189310916113
5,pmfg_group_degree,0.0004624023900900257
5,pmfg_group_betweenness,0.0004680023368091905
5,pmfg_original_clustering,0.00044943716827272395
5,pmfg_group_clustering,0.0004462228031873277
5,sector_Basic Materials,0.00026631502970662815
5,sector_Financials,3.432727263661037e-05
5,sector_Oil Gas and Biofuels,0.00011649297599991214
5,subsector_Banks,4.8886101948460307e-05
5,subsector_Mining,0.00042358902212816013
5,subsector_Oil Gas and Biofuels,0.00010169627829431389
20,rolling_mean_return_5d,0.0040804377126343085
20,rolling_mean_return_20d,0.018214615178428036
20,rolling_vol_5d,0.004957022127323521
20,rolling_vol_20d,0.006716696173716313
20,rolling_vol_60d,0.009049963849782457
20,rolling_vol_120d,0.062348523900533914
20,rolling_abs_return_5d,0.009207037150614703
20,rolling_abs_return_20d,0.46357888009640297
20,rolling_abs_return_60d,0.2904674510461264
20,rolling_skew_60d,0.024716506010453474
20,rolling_kurtosis_60d,0.031486007011453605
20,ewma_volatility,0.014352690711757534
20,lagged_rv_5d,0.008871507094493872
20,lagged_rv_20d,0.0390736400350821
20,abs_r_t,0.00017276153568510932
20,r2_t,0.00015724995276527812
20,largest_eigenvalue,0.0
20,market_mode_share,0.0
20,number_of_eigenvalues_above_mp,0.0
20,mst_original_degree,0.00015559025316569072
20,mst_original_betweenness,0.0006463290230357463
20,mst_group_degree,0.0006252051821183616
20,mst_group_betweenness,0.0006082528647453862
20,pmfg_original_degree,0.0011679984188179093
20,pmfg_original_betweenness,0.0010057055018617349
20,pmfg_group_degree,0.0008246484351140611
20,pmfg_group_betweenness,0.0008239082687088064
20,pmfg_original_clustering,0.0024128913775382068
20,pmfg_group_clustering,0.0009631069805467585
20,sector_Basic Materials,0.0009672359662227849
20,sector_Financials,0.0003315936963409934
20,sector_Oil Gas and Biofuels,0.0003437715120645822
20,subsector_Banks,0.00045109268825690405
20,subsector_Mining,0.0009921114300702161
20,subsector_Oil Gas and Biofuels,0.00022956881413812192
