model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
Ridge,Set A (Classical),BBDC4,5,train,0.013363315821785618,0.018846962568561533,-5.209997486646792,0.3728991454003826
Ridge,Set A (Classical),BBDC4,5,validation,0.01513039623485051,0.0253601991033999,-4.9848847538268455,0.38373006992512404
Ridge,Set A (Classical),BBDC4,5,test,0.01486321402968483,0.023205878110123264,-5.1960615725000645,0.022899942689474928
Ridge,Set A (Classical),PETR4,5,train,0.016705398885879796,0.022981318665982263,-4.792170925632244,0.4775577649387869
Ridge,Set A (Classical),PETR4,5,validation,0.021921759169312004,0.04297716995559913,-4.322265881738478,0.2564136589348258
Ridge,Set A (Classical),PETR4,5,test,0.015623831946686921,0.02392613638954543,-5.079929629961827,0.28094511334090133
Ridge,Set A (Classical),VALE3,5,train,0.01607683983012741,0.022623167018064844,-4.7965996343058945,0.45791532373184307
Ridge,Set A (Classical),VALE3,5,validation,0.01871916167536963,0.03550192536100765,-4.404345241074156,0.14147980649203684
Ridge,Set A (Classical),VALE3,5,test,0.013199795338015508,0.01684896976799141,-5.428543686923397,0.5381424186629824
Random Forest,Set A (Classical),BBDC4,5,train,0.012330366376855683,0.017022486767884565,-5.258201393133845,0.4884351841906487
Random Forest,Set A (Classical),BBDC4,5,validation,0.015757718664240295,0.02701168147468378,-4.913195551518875,0.3008523545219981
Random Forest,Set A (Classical),BBDC4,5,test,0.01572885969633656,0.02337590688124844,-5.28566185722921,0.008529122094687702
Random Forest,Set A (Classical),PETR4,5,train,0.014936439613118462,0.020310245470698023,-4.861463821901762,0.591944971818225
Random Forest,Set A (Classical),PETR4,5,validation,0.022151287240166465,0.04510084946305828,-4.19327724412093,0.18111065649003721
Random Forest,Set A (Classical),PETR4,5,test,0.01768289441394636,0.026087951610841067,-5.079797746829579,0.14513634261598996
Random Forest,Set A (Classical),VALE3,5,train,0.014287844588192532,0.019469571196598808,-4.858629407949676,0.5985115089316521
Random Forest,Set A (Classical),VALE3,5,validation,0.02006071561598663,0.03738104571074849,-4.544266816898305,0.04819146639649352
Random Forest,Set A (Classical),VALE3,5,test,0.015074273640699493,0.018718125859812675,-5.38547745177269,0.42998524050206
HistGradientBoosting,Set A (Classical),BBDC4,5,train,0.011197779998417897,0.015213486407565263,-5.3063014329116225,0.5913870200992906
HistGradientBoosting,Set A (Classical),BBDC4,5,validation,0.016409909187111524,0.02794943565617407,-4.925974015309715,0.2514656303071525
HistGradientBoosting,Set A (Classical),BBDC4,5,test,0.0157343064588978,0.023429481641959106,-5.2749075495122275,0.0039792507147241585
HistGradientBoosting,Set A (Classical),PETR4,5,train,0.01313077703017685,0.017797305803814088,-4.913145505224111,0.6866736535199008
HistGradientBoosting,Set A (Classical),PETR4,5,validation,0.0241022351967879,0.04638998883181644,-4.14662551797057,0.13362819176409213
HistGradientBoosting,Set A (Classical),PETR4,5,test,0.018636532550552056,0.02697628311380691,-5.045265844325142,0.0859265059476716
HistGradientBoosting,Set A (Classical),VALE3,5,train,0.012808746107035805,0.017143443071244716,-4.899924651188954,0.6887162666785231
HistGradientBoosting,Set A (Classical),VALE3,5,validation,0.020745433686493876,0.03806443647407687,-4.488880681291546,0.013071908130246168
HistGradientBoosting,Set A (Classical),VALE3,5,test,0.015543348821057122,0.019478599259412546,-5.368983036330171,0.38272765467814784
MLP,Set A (Classical),BBDC4,5,train,0.012783949633727696,0.0184021560878698,-5.163869506398077,0.40215021587600097
MLP,Set A (Classical),BBDC4,5,validation,0.014323082872911825,0.024699884536457176,-4.925202480535477,0.4154044489158746
MLP,Set A (Classical),BBDC4,5,test,0.013452647403398304,0.022581876143544115,-5.170897782154952,0.07474153434263708
MLP,Set A (Classical),PETR4,5,train,0.016073525933378977,0.022665063291539205,-4.764735648619161,0.4918379114655478
MLP,Set A (Classical),PETR4,5,validation,0.02153953419937606,0.04482888933670546,-4.065634436824385,0.19095675875633888
MLP,Set A (Classical),PETR4,5,test,0.015422024046784362,0.023839431362732318,-5.052939639308726,0.2861471824207681
MLP,Set A (Classical),VALE3,5,train,0.015638978211912225,0.022124745431362083,-4.779932348413609,0.4815380463465787
MLP,Set A (Classical),VALE3,5,validation,0.018264234440285555,0.03533313163638887,-4.41143439255503,0.14962405929043743
MLP,Set A (Classical),VALE3,5,test,0.012623201839941771,0.016578333077046505,-5.404519470989873,0.55286043855529
Ridge,Set B (+Market/RMT),BBDC4,5,train,0.013363315821785618,0.018846962568561533,-5.209997486646792,0.3728991454003826
Ridge,Set B (+Market/RMT),BBDC4,5,validation,0.01513039623485051,0.025360199103399903,-4.9848847538268455,0.38373006992512393
Ridge,Set B (+Market/RMT),BBDC4,5,test,0.01486321402968483,0.023205878110123264,-5.1960615725000645,0.022899942689474928
Ridge,Set B (+Market/RMT),PETR4,5,train,0.016705398885879796,0.022981318665982263,-4.792170925632244,0.4775577649387869
Ridge,Set B (+Market/RMT),PETR4,5,validation,0.021921759169312,0.042977169955599144,-4.322265881738477,0.2564136589348255
Ridge,Set B (+Market/RMT),PETR4,5,test,0.015623831946686921,0.02392613638954543,-5.079929629961827,0.28094511334090133
Ridge,Set B (+Market/RMT),VALE3,5,train,0.01607683983012741,0.022623167018064844,-4.7965996343058945,0.45791532373184307
Ridge,Set B (+Market/RMT),VALE3,5,validation,0.01871916167536963,0.03550192536100766,-4.404345241074157,0.14147980649203662
Ridge,Set B (+Market/RMT),VALE3,5,test,0.013199795338015508,0.01684896976799141,-5.428543686923397,0.5381424186629824
Random Forest,Set B (+Market/RMT),BBDC4,5,train,0.012330346966504759,0.017022102064775637,-5.25820079975378,0.48845830635298915
Random Forest,Set B (+Market/RMT),BBDC4,5,validation,0.015760876510384034,0.027021485761397804,-4.913143286390851,0.300344730590848
Random Forest,Set B (+Market/RMT),BBDC4,5,test,0.01573258682701019,0.023381011125326222,-5.285528488939005,0.008096089750922575
Random Forest,Set B (+Market/RMT),PETR4,5,train,0.014936095083135795,0.02030918800426773,-4.861468669100808,0.5919874620245943
Random Forest,Set B (+Market/RMT),PETR4,5,validation,0.02214890019579916,0.04509560982475897,-4.193377175811519,0.18130091608740073
Random Forest,Set B (+Market/RMT),PETR4,5,test,0.017678914878530617,0.02608317026027342,-5.079874724537811,0.14544966949797133
Random Forest,Set B (+Market/RMT),VALE3,5,train,0.014287973513122821,0.019469038112832775,-4.8586440041223815,0.598533494425283
Random Forest,Set B (+Market/RMT),VALE3,5,validation,0.020065758068816768,0.03738703011950763,-4.544199867710093,0.04788668801695295
Random Forest,Set B (+Market/RMT),VALE3,5,test,0.015075957576319883,0.018719988079426934,-5.385435488817715,0.4298718161692896
HistGradientBoosting,Set B (+Market/RMT),BBDC4,5,train,0.011197779998417897,0.015213486407565263,-5.3063014329116225,0.5913870200992906
HistGradientBoosting,Set B (+Market/RMT),BBDC4,5,validation,0.016409909187111524,0.02794943565617407,-4.925974015309715,0.2514656303071525
HistGradientBoosting,Set B (+Market/RMT),BBDC4,5,test,0.0157343064588978,0.023429481641959106,-5.2749075495122275,0.0039792507147241585
HistGradientBoosting,Set B (+Market/RMT),PETR4,5,train,0.01313077703017685,0.017797305803814088,-4.913145505224111,0.6866736535199008
HistGradientBoosting,Set B (+Market/RMT),PETR4,5,validation,0.0241022351967879,0.04638998883181644,-4.14662551797057,0.13362819176409213
HistGradientBoosting,Set B (+Market/RMT),PETR4,5,test,0.018636532550552056,0.02697628311380691,-5.045265844325142,0.0859265059476716
