symbol,n_obs,mean,std,min,max,skew,abs_mean
BBDC4,6886,0.0004480137980582622,0.023223143963644336,-0.216807732865124,0.1998888185062062,-0.02987611684212657,0.016534621539425066
SBSP3,6886,0.0005103233614335209,0.026255044108196172,-0.4277784070721557,0.1918910078101054,-0.8438509753206996,0.018373994937469735
PETR3,6885,0.0005804909412392208,0.02802170326379712,-0.3520543563684553,0.20502371785224605,-0.4801890175374255,0.019410872514156168
PETR4,6885,0.0005590191287645097,0.027376448892787886,-0.3523666109656791,0.20067069546215133,-0.5805882461215673,0.01886144421944603
ITSA4,6885,0.0006330684053988733,0.021607945799461147,-0.1445812288111079,0.22431933040322183,0.28878253789114067,0.015479663778997847
CMIG4,6885,0.00046392658483150227,0.02659231051936737,-0.2779993717353635,0.2639436277860472,-0.14674685021211198,0.0188459608952839
CSNA3,6882,0.000526332739054808,0.03231276838283884,-0.2915900888489862,0.19627560612792938,0.03741706315351301,0.0233574208815278
BBAS3,6880,0.0005858364018053723,0.026772982619550148,-0.2378914079487653,0.18825629231376917,-0.12577718684407246,0.01908116432597918
VALE3,6857,0.0007475065377934435,0.02559645649732599,-0.28135012834429896,0.2984929885559966,0.06964304531760726,0.017972509406340396
ELET3,6852,0.00026679996841342315,0.03138499890249637,-0.2353397902411971,0.4007592170707519,0.5032757600004055,0.02213305905152635
USIM5,6669,0.00041025126316003737,0.0328843916535201,-0.26854273224108316,0.30089230418858737,0.14161144352561916,0.02388098365651412
GGBR4,6174,0.0004922130460115627,0.026924342986928473,-0.1979224972364344,0.16886666445977183,-0.0774390321858341,0.019823549894669057
CCRO3,5665,0.0005721672159435841,0.02453412903670293,-0.3101549283038396,0.20013444080495235,-0.3650442460647458,0.017153303108502705
RENT3,5106,0.0008318828029604584,0.026608386181868428,-0.20598393103138335,0.24095499604381157,0.01225509914831659,0.018711283609431598
LREN3,5092,0.0007510003465228014,0.032782646153575075,-0.5679840376059393,1.0658224658451187,6.08879884458259,0.019988809983672407
CYRE3,5064,0.0005160501035962922,0.03045026823570295,-0.28302899166008366,0.2892936763461227,-0.2135005346862211,0.021517618092091854
CSAN3,4982,8.62400624549536e-05,0.02653636741639684,-0.20379414913445926,0.20661424936299927,-0.27034847680764856,0.019092593904672578
WEGE3,4664,0.0007740165786780907,0.02298044484988945,-0.32850406697203616,0.32850406697203616,0.004464982871359881,0.01517529509911218
JBSS3,4504,0.0004504010316335474,0.03076426040596704,-0.3760512229018711,0.24091572106000747,-0.16058796423481542,0.02159056775680778
EQTL3,4397,0.0008031317242638961,0.01756442115197117,-0.1147502560076652,0.12680084689569565,0.0471427115305127,0.012784776604289215
HYPE3,4388,0.00030400734127639394,0.02266199223934635,-0.16498763115713544,0.1918003007484983,0.02035221854334712,0.016048436298291086
ITUB4,4119,0.0004006868462133697,0.01836607881492479,-0.12836379597719505,0.1048943053037501,-0.025499044925725765,0.013552469755549834
BRFS3,3911,2.1784989153343303e-05,0.02487400462732121,-0.21998705968042964,0.1508142541187132,-0.25187999907525727,0.01713486106157023
MGLU3,3639,0.0001695662128511567,0.0392480928072485,-0.2591730148934275,0.3169117107667191,0.4027006381104166,0.027760348736680526
CIEL3,3637,5.229303977326406e-05,0.0245427388656219,-0.23795863709935028,0.21072103131565267,0.29938815647074385,0.016851869216464064
UGPA3,3615,0.00045287986770634774,0.023782502373042195,-0.24026459209432094,0.3252002645976506,0.607797675439513,0.015624666511489194
RADL3,3479,0.0006734394225105883,0.01972373670691321,-0.15964992035730674,0.17114825619582952,-0.03126370249814734,0.014691756248813291
BBSE3,3145,0.0005700320421141608,0.017447989205576157,-0.10786454129101664,0.10352297528237919,-0.20134949081042042,0.012683169132209161
