symbol,company_name,sector,subsector,degree_mst_original,betweenness_mst_original,degree_rank_mst_original,betweenness_rank_mst_original,degree_mst_group_mode,betweenness_mst_group_mode,degree_rank_mst_group_mode,betweenness_rank_mst_group_mode,degree_pmfg_original,betweenness_pmfg_original,degree_rank_pmfg_original,betweenness_rank_pmfg_original,degree_pmfg_group_mode,betweenness_pmfg_group_mode,degree_rank_pmfg_group_mode,betweenness_rank_pmfg_group_mode,degree_rank_shift_mst_original_to_group,betweenness_rank_shift_mst_original_to_group,degree_rank_shift_pmfg_original_to_group,betweenness_rank_shift_pmfg_original_to_group
PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,1,0.0,25.0,25.0,1,0.0,18.0,18.0,8,0.0181704260651629,12.0,12.0,6,0.0087719298245614,16.0,15.0,7.0,7.0,-4.0,-3.0
VALE3,VALE,Basic Materials,Mining,3,0.4354636591478696,8.0,5.0,3,0.3659147869674185,8.0,7.0,7,0.012531328320802,13.0,13.0,13,0.3070175438596491,4.0,3.0,0.0,-2.0,9.0,10.0
BBDC4,BRADESCO,Financials,Banks,3,0.5075187969924811,8.0,2.0,10,0.5827067669172932,2.0,2.0,16,0.3590225563909774,1.0,2.0,12,0.213032581453634,5.0,7.0,6.0,0.0,-4.0,-5.0
BBAS3,BANCO DO BRASIL,Financials,Banks,3,0.0695488721804511,8.0,15.0,1,0.0,18.0,18.0,9,0.0112781954887218,8.0,14.0,4,0.0,26.0,21.0,-10.0,-3.0,-18.0,-7.0
PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,4,0.4743107769423558,6.0,3.0,2,0.3771929824561403,10.0,6.0,7,0.0620300751879699,13.0,10.0,7,0.0432330827067669,13.0,14.0,-4.0,-3.0,0.0,-4.0
RENT3,LOCALIZA,Industrials,Transportation,1,0.0,25.0,25.0,1,0.0,18.0,18.0,4,0.0,28.0,24.0,5,0.0,20.0,21.0,7.0,7.0,8.0,3.0
LREN3,LOJAS RENNER,Consumer Cyclical,Retail,3,0.1353383458646616,8.0,12.0,1,0.0,18.0,18.0,9,0.0031328320802005,8.0,17.0,8,0.1923558897243107,10.0,8.0,-10.0,-6.0,-2.0,9.0
GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,3,0.1027568922305764,8.0,13.0,2,0.1015037593984962,10.0,13.0,15,0.3790726817042606,3.0,1.0,6,0.0006265664160401,16.0,19.0,-2.0,0.0,-13.0,-18.0
ITSA4,ITAUSA,Financials,Financial Services,6,0.7155388471177945,2.0,1.0,1,0.0,18.0,18.0,13,0.1654135338345864,5.0,6.0,4,0.0,26.0,21.0,-16.0,-17.0,-21.0,-15.0
USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,3,0.3233082706766917,8.0,8.0,1,0.0,18.0,18.0,5,0.0006265664160401,22.0,21.0,4,0.0,26.0,21.0,-10.0,-10.0,-4.0,0.0
