network,matrix,symbol,top5_betweenness_window_count,top5_betweenness_window_share
MST,original,BBDC4,2,0.6666666666666666
MST,original,CYRE3,2,0.6666666666666666
MST,original,GGBR4,2,0.6666666666666666
MST,original,ITSA4,2,0.6666666666666666
MST,original,BRAP4,1,0.3333333333333333
MST,original,CMIG4,1,0.3333333333333333
MST,original,CPLE6,1,0.3333333333333333
MST,original,CSNA3,1,0.3333333333333333
MST,original,ELET3,1,0.3333333333333333
MST,original,PETR3,1,0.3333333333333333
MST,original,VALE3,1,0.3333333333333333
MST,group_mode,SAPR4,2,0.6666666666666666
MST,group_mode,TELB3,2,0.6666666666666666
MST,group_mode,TELB4,2,0.6666666666666666
MST,group_mode,ALPA4,1,0.3333333333333333
MST,group_mode,BBAS3,1,0.3333333333333333
MST,group_mode,CMIG4,1,0.3333333333333333
MST,group_mode,LREN3,1,0.3333333333333333
MST,group_mode,PETR3,1,0.3333333333333333
MST,group_mode,PETR4,1,0.3333333333333333
MST,group_mode,ROMI3,1,0.3333333333333333
MST,group_mode,SHUL4,1,0.3333333333333333
MST,group_mode,UNIP6,1,0.3333333333333333
PMFG,original,BBDC4,2,0.6666666666666666
PMFG,original,CYRE3,2,0.6666666666666666
PMFG,original,GOAU4,2,0.6666666666666666
PMFG,original,BRAP4,1,0.3333333333333333
PMFG,original,CPLE6,1,0.3333333333333333
PMFG,original,CSNA3,1,0.3333333333333333
PMFG,original,ELET3,1,0.3333333333333333
PMFG,original,GGBR4,1,0.3333333333333333
PMFG,original,ITSA4,1,0.3333333333333333
PMFG,original,PETR3,1,0.3333333333333333
PMFG,original,RAPT4,1,0.3333333333333333
PMFG,original,VALE3,1,0.3333333333333333
PMFG,group_mode,BBAS3,2,0.6666666666666666
PMFG,group_mode,CMIG4,2,0.6666666666666666
PMFG,group_mode,TELB4,2,0.6666666666666666
PMFG,group_mode,GGBR4,1,0.3333333333333333
PMFG,group_mode,LREN3,1,0.3333333333333333
PMFG,group_mode,PETR3,1,0.3333333333333333
PMFG,group_mode,PETR4,1,0.3333333333333333
PMFG,group_mode,ROMI3,1,0.3333333333333333
PMFG,group_mode,SAPR4,1,0.3333333333333333
PMFG,group_mode,SHUL4,1,0.3333333333333333
PMFG,group_mode,TELB3,1,0.3333333333333333
PMFG,group_mode,VALE3,1,0.3333333333333333
