network,matrix,window_left,window_right,edge_jaccard,top5_hub_overlap,community_adjusted_rand_index
MST,original,1,2,0.17525773195876287,0.2,0.1137146343554137
MST,original,1,3,0.16326530612244897,0.2,0.12468707733923522
MST,original,2,3,0.2808988764044944,0.4,0.1746395299393096
MST,group_mode,1,2,0.0,0.2,0.0801471157283371
MST,group_mode,1,3,0.07547169811320754,0.4,0.16939541181795398
MST,group_mode,2,3,0.06542056074766354,0.0,0.2962115004578975
PMFG,original,1,2,0.17894736842105263,0.2,0.0996352202319178
PMFG,original,1,3,0.17482517482517482,0.0,0.19661459074935783
PMFG,original,2,3,0.2824427480916031,0.4,0.34717680184339655
PMFG,group_mode,1,2,0.08387096774193549,0.0,0.09718703097009505
PMFG,group_mode,1,3,0.13898305084745763,0.4,0.18570847225296105
PMFG,group_mode,2,3,0.19572953736654805,0.2,0.2395432057725024
