window,start_date,end_date,n_observations,network,matrix,n_edges,top5_betweenness_hubs
1,2006-08-23,2012-02-13,509,MST,original,57,BBDC4|BRAP4|CPLE6|GGBR4|VALE3
1,2006-08-23,2012-02-13,509,PMFG,original,168,BBDC4|BRAP4|CPLE6|GGBR4|VALE3
1,2006-08-23,2012-02-13,509,MST,group_mode,57,CMIG4|PETR3|SAPR4|TELB3|TELB4
1,2006-08-23,2012-02-13,509,PMFG,group_mode,168,CMIG4|PETR3|TELB3|TELB4|VALE3
2,2012-02-28,2021-06-02,509,MST,original,57,BBDC4|CMIG4|CYRE3|ITSA4|PETR3
2,2012-02-28,2021-06-02,509,PMFG,original,168,BBDC4|CYRE3|GOAU4|PETR3|RAPT4
2,2012-02-28,2021-06-02,509,MST,group_mode,57,ALPA4|LREN3|ROMI3|SAPR4|SHUL4
2,2012-02-28,2021-06-02,509,PMFG,group_mode,168,BBAS3|LREN3|ROMI3|SAPR4|SHUL4
3,2021-06-04,2024-08-15,509,MST,original,57,CSNA3|CYRE3|ELET3|GGBR4|ITSA4
3,2021-06-04,2024-08-15,509,PMFG,original,168,CSNA3|CYRE3|ELET3|GOAU4|ITSA4
3,2021-06-04,2024-08-15,509,MST,group_mode,57,BBAS3|PETR4|TELB3|TELB4|UNIP6
3,2021-06-04,2024-08-15,509,PMFG,group_mode,168,BBAS3|CMIG4|GGBR4|PETR4|TELB4
