symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
CYRE3,CYRELA,Real Estate,Real Estate,Construction,17,0.2982456140350877,0.3665413533834586,0.5236149562827253,0.40923456413175474,0.17389107986651467,0.0,,,,
GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,17,0.2982456140350877,0.3283208020050125,0.49297773136393946,0.08085096349662733,0.13250393169490615,0.0,,,,
GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,16,0.2807017543859649,0.04887218045112782,0.44219734505379504,0.05794040859276638,0.1396535419586173,0.0,,,,
RAPT4,RANDON,Industrials,Transportation Equipment,Auto Parts,16,0.2807017543859649,0.14285714285714285,0.40488244670959683,0.3840119232137673,0.19316984347012442,0.0,,,,
BBDC3,BRADESCO,Financials,Banks,Banks,14,0.24561403508771928,0.356516290726817,0.6048779889638304,0.20949594210779393,0.17761279081391704,0.0,,,,
BBDC4,BRADESCO,Financials,Banks,Banks,14,0.24561403508771928,0.17042606516290726,0.5383585940283498,0.20000309828445492,0.17791956369054168,0.0,,,,
ITSA4,ITAUSA,Financials,Financial Services,Holdings,14,0.24561403508771928,0.22431077694235588,0.5467248870100799,0.1282392402806196,0.17781410422426772,0.0,,,,
CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,13,0.22807017543859648,0.22431077694235588,0.46101170890838195,0.08781606216266569,0.1918884404239107,0.0,,,,
CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,12,0.21052631578947367,0.0,0.4577230676456699,0.07629598341492107,0.20808512790782285,0.0,,,,
LREN3,LOJAS RENNER,Consumer Cyclical,Retail,Apparel,11,0.19298245614035087,0.03258145363408521,0.4896833544086669,0.2809189936127044,0.25240744137362897,0.0,,,,
GUAR3,GUARARAPES,Consumer Cyclical,Retail,Apparel,10,0.17543859649122806,0.005639097744360902,0.3820053113769022,0.26267267990815746,0.29781171926897704,0.0,,,,
PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,8,0.14035087719298245,0.011278195488721804,0.4809154282716037,0.09082078521096108,0.2999662290222912,0.0,,,,
BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,6,0.10526315789473684,0.0,0.5147302852528169,0.1104554196012299,0.3489764184053292,0.0,,,,
RENT3,LOCALIZA,Industrials,Transportation,Rent a Car,5,0.08771929824561403,0.0,0.41508374750064736,0.17030722671279114,0.4978516092988722,0.0,,,,
ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,5,0.08771929824561403,0.0,0.35030159062358746,0.1922089648991762,0.5774345354884274,0.0,,,,
CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,4,0.07017543859649122,0.0,0.3430112369701654,0.02148044569965759,0.5145058425935244,0.0,,,,
CGAS5,COMGAS,Utilities,Gas Utility,Distribution,4,0.07017543859649122,0.0,0.3407470532040188,0.17248900296128253,0.7384606308808431,0.0,,,,
CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,4,0.07017543859649122,0.0,0.33823877470222824,0.02412314491527894,0.5349427396240772,0.0,,,,
EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,4,0.07017543859649122,0.0,0.355648604524941,0.1511831702292005,0.6776310061454839,0.0,,,,
