symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
GUAR3,GUARARAPES,Consumer Cyclical,Retail,Apparel,17,0.2982456140350877,0.4022556390977443,0.3002316769922551,0.40598391883253854,0.21223327488502622,0.0,,,,
ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,16,0.2807017543859649,0.16729323308270677,0.27613615557827725,0.37312242304543236,0.22416960429090144,0.0,,,,
BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,15,0.2631578947368421,0.11591478696741854,0.19961052590682163,0.06744072811721366,0.23115206836854987,0.0,,,,
VALE3,VALE,Basic Materials,Mining,Minerals,13,0.22807017543859648,0.3070175438596491,0.23017991617864123,0.07841633050248124,0.26561993733039396,0.0,,,,
BBDC4,BRADESCO,Financials,Banks,Banks,12,0.21052631578947367,0.21303258145363407,0.26840104047725216,0.15636848575327447,0.2969180724485828,0.0,,,,
BBDC3,BRADESCO,Financials,Banks,Banks,12,0.21052631578947367,0.3082706766917293,0.2741359963033938,0.13851109893723113,0.29718375804342073,0.0,,,,
SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,12,0.21052631578947367,0.11340852130325814,0.2584875061385145,0.27784270556566837,0.2981744799819001,0.0,,,,
CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,11,0.19298245614035087,0.21804511278195488,0.20940233480170561,0.11069987478932831,0.3148338809454749,0.0,,,,
CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,9,0.15789473684210525,0.008771929824561403,0.17196491990034235,0.059409739835546545,0.37737355492630154,0.0,,,,
GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,8,0.14035087719298245,0.05701754385964912,0.2646408149495314,0.22073158645902796,0.43262045375288016,0.0,,,,
ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,8,0.14035087719298245,0.003132832080200501,0.24124276303234427,0.211509495748227,0.4315478795344738,0.0,,,,
LREN3,LOJAS RENNER,Consumer Cyclical,Retail,Apparel,8,0.14035087719298245,0.19235588972431078,0.28312827731189766,0.22956522411798083,0.4357696751789744,0.0,,,,
CCRO3,CCR,Industrials,Transportation,Infrastructure,7,0.12280701754385964,0.2299498746867168,0.29492786301700596,0.18194158264138008,0.49910890441820627,0.0,,,,
PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,7,0.12280701754385964,0.043233082706766915,0.23155554982699258,0.08076419089023991,0.4931191867396795,0.0,,,,
CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,7,0.12280701754385964,0.005639097744360902,0.20545224744547055,0.1127201561060198,0.48337159591290835,0.0,,,,
GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,6,0.10526315789473684,0.0006265664160401002,0.18541576743159252,0.02967881294321844,0.5429215555437437,0.0,,,,
PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,6,0.10526315789473684,0.008771929824561403,0.23028017853289431,0.07708034560721803,0.5662930902636231,0.0,,,,
PSSA3,PORTO SEGURO,Financials,Insurance,Insurance,6,0.10526315789473684,0.044486215538847115,0.25475846805543867,0.13277638743459788,0.5683882054817141,0.0,,,,
SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,6,0.10526315789473684,0.2274436090225564,0.24558139107176957,0.14916523766819068,0.5646065852225097,0.0,,,,
ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,5,0.08771929824561403,0.0,0.2364564800440738,0.1801544971579201,0.6545115440390277,0.0,,,,
KEPL3,KEPLER WEBER,Industrials,Machinery and Equipment,Agricultural,5,0.08771929824561403,0.0,0.23593854524336744,0.15316988901416403,0.670256152423927,0.0,,,,
FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,5,0.08771929824561403,0.0,0.16043527502845195,0.020540222335947343,0.6384119043862888,0.0,,,,
RENT3,LOCALIZA,Industrials,Transportation,Rent a Car,5,0.08771929824561403,0.0,0.2257033452598052,0.1626486748521459,0.6575737577108913,0.0,,,,
GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,5,0.08771929824561403,0.0,0.1840322161942735,0.027580766610367163,0.6228268535738761,0.0,,,,
ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,5,0.08771929824561403,0.0,0.19516970263714944,0.06002984021267232,0.6374155285727113,0.0,,,,
BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,4,0.07017543859649122,0.0,0.2127868100726449,0.05671450248638173,0.7949885452549871,0.0,,,,
USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,4,0.07017543859649122,0.0,0.18267494523358996,0.024305781616635186,0.7445966179552523,0.0,,,,
ITSA3,ITAUSA,Financials,Financial Services,Holdings,4,0.07017543859649122,0.0,0.21367272997799144,0.06310467195038756,0.7713477149442833,0.0,,,,
ITSA4,ITAUSA,Financials,Financial Services,Holdings,4,0.07017543859649122,0.0,0.2121574613426792,0.05249562625976732,0.7551382860354492,0.0,,,,
KLBN4,KLABIN,Basic Materials,Paper and Cellulose,Paper and Cellulose,4,0.07017543859649122,0.0,0.18683875021190002,0.033952900726899896,0.7800968962902028,0.0,,,,
GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,4,0.07017543859649122,0.0,0.18313942477381465,0.024968753219312984,0.7376146516549625,0.0,,,,
GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,4,0.07017543859649122,0.0,0.18259732859447628,0.02608866490877353,0.7547006378724604,0.0,,,,
ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,4,0.07017543859649122,0.0,0.16744736831030388,0.030301983256141425,0.7500709671901734,0.0,,,,
CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,4,0.07017543859649122,0.0,0.1831323152977971,0.024588737496624723,0.7387388192581906,0.0,,,,
CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,4,0.07017543859649122,0.0,0.22432905009477322,0.14906155940656204,0.7760562569493605,0.0,,,,
CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,4,0.07017543859649122,0.0,0.1682206953388472,0.039673247646361175,0.747506118932038,0.0,,,,
CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,4,0.07017543859649122,0.0,0.1672134539956762,0.029003718219573205,0.7589348260695693,0.0,,,,
BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,4,0.07017543859649122,0.0,0.21680753565067404,0.05484132038549486,0.7587842916468205,0.0,,,,
BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,4,0.07017543859649122,0.0,0.18377840882957847,0.024461077065773103,0.7325530864941504,0.0,,,,
BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,4,0.07017543859649122,0.0,0.22077429625328937,0.14027090580881557,0.7901166131381195,0.0,,,,
BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,4,0.07017543859649122,0.0,0.1966824792813492,0.09145296131539578,0.7814294751434807,0.0,,,,
EMAE4,EMAE,Utilities,Electric Utility,Generation,4,0.07017543859649122,0.0,0.22067194387493125,0.1261927930248282,0.7780354477480711,0.0,,,,
TRPL4,ISA CTEEP,Utilities,Electric Utility,Transmission,4,0.07017543859649122,0.0,0.16648225595193406,0.03365825716796527,0.7710951982866666,0.0,,,,
TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,4,0.07017543859649122,0.0006265664160401002,0.15814190433289982,0.01724256373725032,0.7317268223212604,0.0,,,,
RAPT4,RANDON,Industrials,Transportation Equipment,Auto Parts,4,0.07017543859649122,0.0,0.23914602790378092,0.15707199789449927,0.7768587521902569,0.0,,,,
POMO4,MARCOPOLO,Industrials,Transportation Equipment,Commercial Vehicles,4,0.07017543859649122,0.0,0.2216427609538454,0.14188670160298858,0.7837340055403951,0.0,,,,
BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,3,0.05263157894736842,0.0,0.19461420348995725,0.07784144251817811,0.9414285715923393,0.0,,,,
BEES3,BANESTES,Financials,Banks,Banks,3,0.05263157894736842,0.0,0.2067605367454045,0.04803212389467847,0.958364816777638,0.0,,,,
CGAS5,COMGAS,Utilities,Gas Utility,Distribution,3,0.05263157894736842,0.0,0.2196179362835409,0.1233283069443526,0.9466953105369971,0.0,,,,
COCE5,COELCE,Utilities,Electric Utility,Distribution,3,0.05263157894736842,0.0,0.16519658757018876,0.0270783454737783,0.933898841681207,0.0,,,,
EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,3,0.05263157894736842,0.0,0.218598950105278,0.12809541906780134,0.9499205661059767,0.0,,,,
CYRE3,CYRELA,Real Estate,Real Estate,Construction,3,0.05263157894736842,0.0,0.23224670529071476,0.10954469741230821,0.9354550230783188,0.0,,,,
MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,3,0.05263157894736842,0.0,0.21705095734092944,0.10220076961715138,0.9472086893035995,0.0,,,,
SBSP3,SABESP,Utilities,Water and Sanitation,Water and Sanitation,3,0.05263157894736842,0.0,0.16561178815953528,0.026082155548257366,0.9198594039511958,0.0,,,,
SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,3,0.05263157894736842,0.0,0.23731170781520897,0.06555441162765765,0.9614811574536827,0.0,,,,
TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,3,0.05263157894736842,0.0,0.1578431456023342,0.013325970624991143,0.8244262561110896,0.0,,,,
USIM3,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,3,0.05263157894736842,0.0,0.18178923161242536,0.021560006072269263,0.894485188183935,0.0,,,,
UNIP6,UNIPAR,Basic Materials,Chemicals,Chemicals,3,0.05263157894736842,0.0,0.22919378663739068,0.12060802185732314,0.9418611942500422,0.0,,,,
