matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
filtered,3,ALPA4|ETER3|GUAR3,Consumer Cyclical|Industrials|Consumer Cyclical,Apparel and Footwear|Construction Materials|Retail,2,False,False,0.39483766921293456,0.3309126391510799,0.4981207483232854
filtered,3,ALPA4|ETER3|RAPT4,Consumer Cyclical|Industrials|Industrials,Apparel and Footwear|Construction Materials|Transportation Equipment,2,False,False,0.3939878251910674,0.3309126391510799,0.4864575486848673
filtered,3,ALPA4|GUAR3|LREN3,Consumer Cyclical|Consumer Cyclical|Consumer Cyclical,Apparel and Footwear|Retail|Retail,1,True,False,0.5021504199531388,0.4816051972041003,0.5267253143320307
filtered,3,ALPA4|GUAR3|RAPT4,Consumer Cyclical|Consumer Cyclical|Industrials,Apparel and Footwear|Retail|Transportation Equipment,2,False,False,0.5065336045640264,0.4864575486848673,0.5350225166839263
filtered,3,ALPA4|LREN3|RAPT4,Consumer Cyclical|Consumer Cyclical|Industrials,Apparel and Footwear|Retail|Transportation Equipment,2,False,False,0.5101584509760025,0.4816051972041003,0.5624126070390402
filtered,3,BAZA3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.4905198163020324,0.338339187317596,0.7927765489984405
filtered,3,BAZA3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.43876046655613693,0.300628828010344,0.6752088590680062
filtered,3,BAZA3|ITSA4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Financial Services|Oil Gas and Biofuels,2,False,False,0.43757280349976685,0.300628828010344,0.6737503951713606
filtered,3,BBAS3|BBDC3|BBDC4,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.764951070558677,0.7459627961630851,0.798310610758327
filtered,3,BBAS3|BBDC3|CMIG4,Financials|Financials|Utilities,Banks|Banks|Electric Utility,2,False,False,0.6277789569203018,0.5629123693185681,0.7459627961630851
filtered,3,BBAS3|BBDC3|CYRE3,Financials|Financials|Real Estate,Banks|Banks|Real Estate,2,False,False,0.6562493586679485,0.5945726197268719,0.7459627961630851
filtered,3,BBAS3|BBDC3|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.7588392093180202,0.7426876604674783,0.7878671713234972
filtered,3,BBAS3|BBDC4|CYRE3,Financials|Financials|Real Estate,Banks|Banks|Real Estate,2,False,False,0.6586406575418052,0.5945726197268719,0.7505798047546187
filtered,3,BBAS3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.7620146714068459,0.7426876604674783,0.7927765489984405
filtered,3,BBAS3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.6866947158693238,0.6342954837853464,0.7505798047546187
