matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,ALPA4|BOBR4|CGAS5,Consumer Cyclical|Consumer Non-Cyclical|Utilities,Apparel and Footwear|Personal and Home Care|Gas Utility,3,False,False,0.0627024825398468,0.0347329729159382,0.0779005918279679
group_mode,3,ALPA4|BOBR4|GUAR3,Consumer Cyclical|Consumer Non-Cyclical|Consumer Cyclical,Apparel and Footwear|Personal and Home Care|Retail,2,False,False,0.1149459783412564,0.0746960221664787,0.1922413210293226
group_mode,3,ALPA4|BOBR4|POMO4,Consumer Cyclical|Consumer Non-Cyclical|Industrials,Apparel and Footwear|Personal and Home Care|Transportation Equipment,3,False,False,0.07347986266221096,0.039526565482918,0.103012430675747
group_mode,3,ALPA4|CGAS5|GUAR3,Consumer Cyclical|Utilities|Consumer Cyclical,Apparel and Footwear|Gas Utility|Retail,2,False,False,0.11404202841612172,0.0744108813434083,0.1922413210293226
group_mode,3,ALPA4|CTNM4|GUAR3,Consumer Cyclical|Consumer Cyclical|Consumer Cyclical,Apparel and Footwear|Textiles|Retail,1,True,False,0.13923207437769894,0.1099348929942028,0.1922413210293226
group_mode,3,ALPA4|CTNM4|POMO4,Consumer Cyclical|Consumer Cyclical|Industrials,Apparel and Footwear|Textiles|Transportation Equipment,2,False,False,0.09235620402280041,0.0585361722830827,0.1155200091095715
group_mode,3,ALPA4|CTNM4|ROMI3,Consumer Cyclical|Consumer Cyclical|Industrials,Apparel and Footwear|Textiles|Machinery and Equipment,2,False,False,0.11469863203455717,0.0997805963356922,0.1287952906584078
group_mode,3,ALPA4|CYRE3|GRND3,Consumer Cyclical|Real Estate|Consumer Cyclical,Apparel and Footwear|Real Estate|Apparel and Footwear,2,False,False,0.11467027807520926,0.0870755351576702,0.1676207562061225
group_mode,3,ALPA4|CYRE3|LREN3,Consumer Cyclical|Real Estate|Consumer Cyclical,Apparel and Footwear|Real Estate|Retail,2,False,False,0.09559433472455774,0.074399267470204,0.125308201545799
group_mode,3,ALPA4|EMAE4|ROMI3,Consumer Cyclical|Utilities|Industrials,Apparel and Footwear|Electric Utility|Machinery and Equipment,3,False,False,0.10677484729718871,0.0883357428827501,0.1287952906584078
group_mode,3,ALPA4|EMAE4|SHUL4,Consumer Cyclical|Utilities|Industrials,Apparel and Footwear|Electric Utility|Machinery and Equipment,3,False,False,0.10842262669108416,0.0883357428827501,0.1326914585742225
