matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
original,3,ALPA4|CYRE3|GRND3,Consumer Cyclical|Real Estate|Consumer Cyclical,Apparel and Footwear|Real Estate|Apparel and Footwear,2,False,False,0.4507444561303233,0.42134769416960505,0.4769309885336118
original,3,ALPA4|CYRE3|GUAR3,Consumer Cyclical|Real Estate|Consumer Cyclical,Apparel and Footwear|Real Estate|Retail,2,False,False,0.5040915363598538,0.4769309885336118,0.5389011355841542
original,3,ALPA4|CYRE3|LREN3,Consumer Cyclical|Real Estate|Consumer Cyclical,Apparel and Footwear|Real Estate|Retail,2,False,False,0.5234750968493108,0.4769309885336118,0.6083504304359342
original,3,ALPA4|GRND3|LREN3,Consumer Cyclical|Consumer Cyclical|Consumer Cyclical,Apparel and Footwear|Apparel and Footwear|Retail,1,True,False,0.4585178985624436,0.42134769416960505,0.4851438715783864
original,3,ALPA4|GUAR3|LREN3,Consumer Cyclical|Consumer Cyclical|Consumer Cyclical,Apparel and Footwear|Retail|Retail,1,True,False,0.5172835814181975,0.4851438715783864,0.5702643877144109
original,3,BAZA3|BBAS3|BBDC4,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.44835908321437384,0.29431786391322545,0.7476300415316489
original,3,BAZA3|BBAS3|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.39905067769006947,0.29392434995851857,0.6000983389134423
original,3,BAZA3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.3991553638898419,0.29392434995851857,0.6092238777977815
original,3,BBAS3|BBDC3|BBDC4,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.8097672115460258,0.736320683884876,0.9453509092215523
original,3,BBAS3|BBDC3|ITSA3,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.5648853054730681,0.4518033226357867,0.736320683884876
original,3,BBAS3|BBDC3|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.7697783681616208,0.736320683884876,0.8218902484570456
original,3,BBAS3|BBDC3|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.6444351632135131,0.596886466842221,0.736320683884876
original,3,BBAS3|BBDC4|CCRO3,Financials|Financials|Industrials,Banks|Banks|Transportation,2,False,False,0.6140973217622802,0.5441863423789257,0.7476300415316489
original,3,BBAS3|BBDC4|CYRE3,Financials|Financials|Real Estate,Banks|Banks|Real Estate,2,False,False,0.6455054785105737,0.5940343657572114,0.7476300415316489
original,3,BBAS3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.7812659948119985,0.7476300415316489,0.8450437707614061
original,3,BBAS3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.6523174194142909,0.6000983389134423,0.7476300415316489
original,3,BBAS3|CCRO3|CYRE3,Financials|Industrials|Real Estate,Banks|Transportation|Real Estate,3,False,False,0.5704381123159915,0.5504755813762656,0.594852028242861
original,3,BBAS3|CYRE3|ITSA4,Financials|Real Estate|Financials,Banks|Real Estate|Financial Services,2,False,False,0.6563877067790816,0.594852028242861,0.7511241721429408
original,3,BBAS3|CYRE3|SCAR3,Financials|Real Estate|Real Estate,Banks|Real Estate|Real Estate,2,False,False,0.44167205672194393,0.35476839631321155,0.594852028242861
original,3,BBAS3|ITSA3|ITSA4,Financials|Financials|Financials,Banks|Financial Services|Financial Services,1,True,False,0.5844460829661071,0.4518033226357867,0.7511241721429408
original,3,BBAS3|ITSA4|SCAR3,Financials|Financials|Real Estate,Banks|Financial Services|Real Estate,2,False,False,0.4939840612611058,0.35543226603061734,0.7511241721429408
original,3,BBDC3|BBDC4|CMIG4,Financials|Financials|Utilities,Banks|Banks|Electric Utility,2,False,False,0.6901713337626516,0.5608917846918231,0.9453509092215523
original,3,BBDC3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.8707616428133348,0.8218902484570456,0.9453509092215523
original,3,BBDC3|BBDC4|PETR3,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.7203130289171047,0.6030877422667673,0.9453509092215523
original,3,BBDC3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.717153751287185,0.596886466842221,0.9453509092215523
original,3,BBDC3|CMIG4|ITSA4,Financials|Utilities|Financials,Banks|Electric Utility|Financial Services,2,False,False,0.6513175246662147,0.5642713073745794,0.8218902484570456
original,3,BBDC3|CMIG4|PSSA3,Financials|Utilities|Financials,Banks|Electric Utility|Insurance,2,False,False,0.47334145355313434,0.39619368360758944,0.5642713073745794
original,3,BBDC3|GGBR4|PETR3,Financials|Basic Materials|Oil Gas and Biofuels,Banks|Steel and Metallurgy|Oil Gas and Biofuels,3,False,False,0.5827358040825378,0.5568545115796648,0.6030877422667673
original,3,BBDC3|GGBR4|PETR4,Financials|Basic Materials|Oil Gas and Biofuels,Banks|Steel and Metallurgy|Oil Gas and Biofuels,3,False,False,0.5785941621440892,0.5568545115796648,0.596886466842221
original,3,BBDC3|ITSA3|ITSA4,Financials|Financials|Financials,Banks|Financial Services|Financial Services,1,True,False,0.626277637491727,0.5065319098985418,0.8218902484570456
original,3,BBDC3|ITSA4|PSSA3,Financials|Financials|Financials,Banks|Financial Services|Insurance,1,True,False,0.5793264631904433,0.4565297714370503,0.8218902484570456
