source,target,distance,correlation,weight,same_sector,same_subsector,sector_source,sector_target,subsector_source,subsector_target,matrix_type
ALPA4,GUAR3,1.271030038174297,0.1922413210293226,1.271030038174297,True,False,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,group_mode
ALPA4,GRND3,1.2902552025036578,0.1676207562061225,1.2902552025036578,True,True,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Apparel and Footwear,group_mode
ALPA4,SHUL4,1.3170486258493097,0.1326914585742225,1.3170486258493097,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Machinery and Equipment,group_mode
ALPA4,ROMI3,1.3200035676782031,0.1287952906584078,1.3200035676782031,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Machinery and Equipment,group_mode
ALPA4,LREN3,1.322642656543483,0.125308201545799,1.322642656543483,True,False,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,group_mode
ALPA4,ETER3,1.326948836477583,0.1196033926853944,1.326948836477583,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Construction Materials,group_mode
ALPA4,RENT3,1.3298958018800109,0.1156885780709615,1.3298958018800109,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Transportation,group_mode
ALPA4,CTNM4,1.3300225493505202,0.1155200091095715,1.3300225493505202,True,False,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Textiles,group_mode
ALPA4,RAPT4,1.3315804288394526,0.1134467807658698,1.3315804288394526,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Transportation Equipment,group_mode
ALPA4,POMO4,1.3393935712286011,0.103012430675747,1.3393935712286011,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Transportation Equipment,group_mode
ALPA4,EMAE4,1.35030682225726,0.0883357428827501,1.35030682225726,False,False,Consumer Cyclical,Utilities,Apparel and Footwear,Electric Utility,group_mode
ALPA4,CYRE3,1.3512397750527696,0.0870755351576702,1.3512397750527696,False,False,Consumer Cyclical,Real Estate,Apparel and Footwear,Real Estate,group_mode
ALPA4,BOBR4,1.3580128189174299,0.0779005918279679,1.3580128189174299,False,False,Consumer Cyclical,Consumer Non-Cyclical,Apparel and Footwear,Personal and Home Care,group_mode
ALPA4,CGAS5,1.3597986006202285,0.0754738828756343,1.3597986006202285,False,False,Consumer Cyclical,Utilities,Apparel and Footwear,Gas Utility,group_mode
ALPA4,MGEL4,1.3704146134459738,0.0609818936268611,1.3704146134459738,False,False,Consumer Cyclical,Basic Materials,Apparel and Footwear,Steel and Metallurgy,group_mode
ALPA4,EMBR3,1.380118189907462,0.0476368909432754,1.380118189907462,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Aerospace and Defense,group_mode
BAZA3,BBDC4,1.3653912132699715,0.0678534173625777,1.3653912132699715,True,True,Financials,Financials,Banks,Banks,group_mode
BAZA3,BBDC3,1.3672103853466198,0.0653678811001738,1.3672103853466198,True,True,Financials,Financials,Banks,Banks,group_mode
BAZA3,PETR4,1.3836362770022745,0.0427753264816425,1.3836362770022745,False,False,Financials,Oil Gas and Biofuels,Banks,Oil Gas and Biofuels,group_mode
BAZA3,BEES3,1.4037114027448219,0.0147971489020824,1.4037114027448219,True,True,Financials,Financials,Banks,Banks,group_mode
