cluster,sector,share,count
1,Consumer Cyclical,0.35714285714285715,5
1,Real Estate,0.07142857142857142,1
1,Consumer Non-Cyclical,0.07142857142857142,1
1,Utilities,0.07142857142857142,1
1,Industrials,0.35714285714285715,5
1,Basic Materials,0.07142857142857142,1
2,Financials,0.6666666666666666,8
2,Industrials,0.08333333333333333,1
2,Oil Gas and Biofuels,0.16666666666666666,2
2,Real Estate,0.08333333333333333,1
3,Basic Materials,1.0,12
4,Utilities,1.0,11
5,Industrials,0.42857142857142855,3
5,Basic Materials,0.42857142857142855,3
5,Utilities,0.14285714285714285,1
6,Telecommunications,1.0,2
