eigen_rank,eigenvalue,sector,n_assets,sum_abs_loading,mean_abs_loading,max_abs_loading,dominant_symbol,dominant_loading
1,21.650461852002376,Consumer Cyclical,5,0.5828182829660835,0.1165636565932167,0.14788741680015655,LREN3,0.14788741680015655
1,21.650461852002376,Financials,8,1.0436686532336126,0.13045858165420157,0.16938921154246409,ITSA4,0.16938921154246409
1,21.650461852002376,Consumer Non-Cyclical,1,0.07250252584911633,0.07250252584911633,0.07250252584911633,BOBR4,0.07250252584911633
1,21.650461852002376,Basic Materials,16,2.261348016501808,0.141334251031363,0.17426385285520893,GOAU4,0.17426385285520893
1,21.650461852002376,Industrials,9,1.0385617832242526,0.11539575369158363,0.15482476579478846,RAPT4,0.15482476579478846
1,21.650461852002376,Utilities,13,1.6575901590587394,0.12750693531221072,0.15916246323074593,CPLE6,0.15916246323074593
1,21.650461852002376,Real Estate,2,0.2624392896750698,0.1312196448375349,0.16158639195201077,CYRE3,0.16158639195201077
1,21.650461852002376,Oil Gas and Biofuels,2,0.31701750557276287,0.15850875278638143,0.15853440995179946,PETR3,0.15853440995179946
1,21.650461852002376,Telecommunications,2,0.08098580449685043,0.040492902248425215,0.04404920293714944,TELB4,0.04404920293714944
2,3.09565032761159,Consumer Cyclical,5,0.6222630977708493,0.12445261955416986,0.15715791449798377,GRND3,0.15715791449798377
2,3.09565032761159,Financials,8,0.31147493919703473,0.03893436739962934,0.062367079923203395,PSSA3,0.062367079923203395
2,3.09565032761159,Consumer Non-Cyclical,1,0.03218767004747319,0.03218767004747319,0.03218767004747319,BOBR4,0.03218767004747319
2,3.09565032761159,Basic Materials,16,2.673966333462186,0.16712289584138662,0.28313829687043235,VALE3,-0.28313829687043235
2,3.09565032761159,Industrials,9,0.5750790861868398,0.0638976762429822,0.12642578348758998,CCRO3,0.12642578348758998
2,3.09565032761159,Utilities,13,1.5880365863811459,0.12215666049085737,0.17466261024266316,SAPR4,0.17466261024266316
2,3.09565032761159,Real Estate,2,0.11345494310258321,0.056727471551291604,0.10692130625003018,CYRE3,0.10692130625003018
2,3.09565032761159,Oil Gas and Biofuels,2,0.10290099546301022,0.05145049773150511,0.0549902657824192,PETR3,-0.0549902657824192
2,3.09565032761159,Telecommunications,2,0.0464469269970778,0.0232234634985389,0.025357572385856772,TELB3,0.025357572385856772
3,1.7838761140083956,Consumer Cyclical,5,0.7519899829034492,0.15039799658068984,0.2089445777930162,ALPA4,0.2089445777930162
3,1.7838761140083956,Financials,8,1.3988609174406696,0.1748576146800837,0.27349282666161434,BBDC4,-0.27349282666161434
3,1.7838761140083956,Consumer Non-Cyclical,1,0.1271392111799451,0.1271392111799451,0.1271392111799451,BOBR4,0.1271392111799451
3,1.7838761140083956,Basic Materials,16,1.153464881388683,0.07209155508679269,0.21314447635178072,BRKM3,0.21314447635178072
3,1.7838761140083956,Industrials,9,1.2685610911871845,0.14095123235413162,0.2922217213255465,ROMI3,0.2922217213255465
3,1.7838761140083956,Utilities,13,0.9894898053057533,0.07611460040813486,0.19223675880986585,EMAE4,0.19223675880986585
3,1.7838761140083956,Real Estate,2,0.04932748929921277,0.024663744649606384,0.03738496099611637,SCAR3,-0.03738496099611637
3,1.7838761140083956,Oil Gas and Biofuels,2,0.3029098486254125,0.15145492431270624,0.15158909342775206,PETR3,-0.15158909342775206
3,1.7838761140083956,Telecommunications,2,0.06890112760141415,0.034450563800707074,0.04969747934386919,TELB3,-0.04969747934386919
