eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
1,21.650461852002376,True,GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,0.17426385285520893,0.17426385285520893,1
1,21.650461852002376,True,GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,0.17134250931108902,0.17134250931108902,2
1,21.650461852002376,True,ITSA4,ITAUSA,Financials,Financial Services,Holdings,0.16938921154246409,0.16938921154246409,3
1,21.650461852002376,True,BBDC3,BRADESCO,Financials,Banks,Banks,0.1675825848921313,0.1675825848921313,4
1,21.650461852002376,True,BBDC4,BRADESCO,Financials,Banks,Banks,0.16754069100386126,0.16754069100386126,5
1,21.650461852002376,True,GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,0.16752428679571515,0.16752428679571515,6
1,21.650461852002376,True,USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,0.164766180829895,0.164766180829895,7
1,21.650461852002376,True,GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,0.16429440934424927,0.16429440934424927,8
2,3.09565032761159,True,VALE3,VALE,Basic Materials,Mining,Minerals,-0.28313829687043235,0.28313829687043235,1
2,3.09565032761159,True,BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,-0.283127407641685,0.283127407641685,2
2,3.09565032761159,True,BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,-0.25066165515440747,0.25066165515440747,3
2,3.09565032761159,True,GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.2487340219605438,0.2487340219605438,4
2,3.09565032761159,True,GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.23874268989066533,0.23874268989066533,5
2,3.09565032761159,True,GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,-0.23206355808589585,0.23206355808589585,6
2,3.09565032761159,True,CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,-0.2299053748273389,0.2299053748273389,7
2,3.09565032761159,True,USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,-0.21274026935604412,0.21274026935604412,8
3,1.7838761140083956,True,ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,0.2922217213255465,0.2922217213255465,1
3,1.7838761140083956,True,SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,0.2902936796249853,0.2902936796249853,2
3,1.7838761140083956,True,BBDC4,BRADESCO,Financials,Banks,Banks,-0.27349282666161434,0.27349282666161434,3
3,1.7838761140083956,True,BBDC3,BRADESCO,Financials,Banks,Banks,-0.26891819752060875,0.26891819752060875,4
3,1.7838761140083956,True,ITSA4,ITAUSA,Financials,Financial Services,Holdings,-0.2622915131832707,0.2622915131832707,5
3,1.7838761140083956,True,BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,-0.25448258677542124,0.25448258677542124,6
3,1.7838761140083956,True,BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,0.21314447635178072,0.21314447635178072,7
3,1.7838761140083956,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.2089445777930162,0.2089445777930162,8
4,1.6543442182562562,True,TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.6936104606140278,0.6936104606140278,1
4,1.6543442182562562,True,TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.6882055288157118,0.6882055288157118,2
4,1.6543442182562562,True,GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,-0.08588173530667084,0.08588173530667084,3
4,1.6543442182562562,True,ITSA3,ITAUSA,Financials,Financial Services,Holdings,-0.08082353749969969,0.08082353749969969,4
4,1.6543442182562562,True,MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,-0.06943355428171732,0.06943355428171732,5
4,1.6543442182562562,True,FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,0.05465233954279953,0.05465233954279953,6
4,1.6543442182562562,True,CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,-0.05135061971030877,0.05135061971030877,7
4,1.6543442182562562,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.05117030393139068,0.05117030393139068,8
5,1.4835128614278588,True,CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,-0.290053456231093,0.290053456231093,1
5,1.4835128614278588,True,CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,-0.2577369032197725,0.2577369032197725,2
5,1.4835128614278588,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.25023116903080805,0.25023116903080805,3
5,1.4835128614278588,True,CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.22654942220744786,0.22654942220744786,4
5,1.4835128614278588,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.2129228814218053,0.2129228814218053,5
5,1.4835128614278588,True,ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.2087643117795997,0.2087643117795997,6
5,1.4835128614278588,True,ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.198826629004308,0.198826629004308,7
5,1.4835128614278588,True,CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,-0.19540354697926546,0.19540354697926546,8
