eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
1,21.650461852002376,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.11127914292684882,0.11127914292684882,41
1,21.650461852002376,True,BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,0.0751489509604335,0.0751489509604335,52
1,21.650461852002376,True,BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,0.16008461273708505,0.16008461273708505,11
1,21.650461852002376,True,BBDC3,BRADESCO,Financials,Banks,Banks,0.1675825848921313,0.1675825848921313,4
1,21.650461852002376,True,BBDC4,BRADESCO,Financials,Banks,Banks,0.16754069100386126,0.16754069100386126,5
1,21.650461852002376,True,BEES3,BANESTES,Financials,Banks,Banks,0.07740165177100472,0.07740165177100472,51
1,21.650461852002376,True,BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,0.07250252584911633,0.07250252584911633,53
1,21.650461852002376,True,BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,0.13950405134231958,0.13950405134231958,28
1,21.650461852002376,True,BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,0.15510627395351134,0.15510627395351134,15
1,21.650461852002376,True,BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,0.10269673777168145,0.10269673777168145,43
1,21.650461852002376,True,BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,0.1391603196187907,0.1391603196187907,30
1,21.650461852002376,True,CCRO3,CCR,Industrials,Transportation,Infrastructure,0.1465996024390086,0.1465996024390086,24
1,21.650461852002376,True,CGAS5,COMGAS,Utilities,Gas Utility,Distribution,0.07968553573043347,0.07968553573043347,50
1,21.650461852002376,True,CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.14155277982535,0.14155277982535,27
1,21.650461852002376,True,CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.1550899895320948,0.1550899895320948,16
1,21.650461852002376,True,COCE5,COELCE,Utilities,Electric Utility,Distribution,0.09094793692457435,0.09094793692457435,46
1,21.650461852002376,True,CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,0.14357501963664188,0.14357501963664188,25
1,21.650461852002376,True,CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,0.13950132569196377,0.13950132569196377,29
1,21.650461852002376,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,0.15916246323074593,0.15916246323074593,12
1,21.650461852002376,True,CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,0.16031282649113365,0.16031282649113365,10
1,21.650461852002376,True,CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,0.08027661967036306,0.08027661967036306,49
1,21.650461852002376,True,CYRE3,CYRELA,Real Estate,Real Estate,Construction,0.16158639195201077,0.16158639195201077,9
1,21.650461852002376,True,ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,0.1512064283921285,0.1512064283921285,21
1,21.650461852002376,True,ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,0.152148700790716,0.152148700790716,20
1,21.650461852002376,True,EMAE4,EMAE,Utilities,Electric Utility,Generation,0.05914971371617934,0.05914971371617934,55
1,21.650461852002376,True,EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,0.12324145478813464,0.12324145478813464,34
