source,target,sector_source,sector_target,subsector_source,subsector_target,mean_dependency,mean_abs_dependency,n_pairwise_links,same_sector,weight
Oil Gas and Biofuels,Paper and Cellulose,Oil Gas and Biofuels,Basic Materials,Oil Gas and Biofuels,Paper and Cellulose,0.0089934023273135,0.0089934023273135,2,False,0.0089934023273135
Apparel and Footwear,Construction Materials,Consumer Cyclical,Industrials,Apparel and Footwear,Construction Materials,0.10200380786112309,0.10200380786112309,2,False,0.10200380786112309
Transportation,Transportation Equipment,Industrials,Industrials,Transportation,Transportation Equipment,0.04541378535368663,0.04541378535368663,4,True,0.04541378535368663
Telecommunications,Water and Sanitation,Telecommunications,Utilities,Telecommunications,Water and Sanitation,0.030816313485719348,0.030816313485719348,4,False,0.030816313485719348
Machinery and Equipment,Personal and Home Care,Industrials,Consumer Non-Cyclical,Machinery and Equipment,Personal and Home Care,0.05513739623121561,0.05513739623121561,3,False,0.05513739623121561
Chemicals,Electric Utility,Basic Materials,Utilities,Chemicals,Electric Utility,0.010548482618165149,0.010548482618165149,30,False,0.010548482618165149
Apparel and Footwear,Transportation Equipment,Consumer Cyclical,Industrials,Apparel and Footwear,Transportation Equipment,0.09961687235178114,0.09961687235178114,4,False,0.09961687235178114
Aerospace and Defense,Construction Materials,Industrials,Industrials,Aerospace and Defense,Construction Materials,0.0295978749872482,0.0295978749872482,1,True,0.0295978749872482
Apparel and Footwear,Textiles,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Textiles,0.1046454400698633,0.1046454400698633,2,True,0.1046454400698633
Gas Utility,Machinery and Equipment,Utilities,Industrials,Gas Utility,Machinery and Equipment,0.054541106765236234,0.054541106765236234,3,False,0.054541106765236234
Chemicals,Personal and Home Care,Basic Materials,Consumer Non-Cyclical,Chemicals,Personal and Home Care,0.029520120799150996,0.029520120799150996,3,False,0.029520120799150996
Insurance,Real Estate,Financials,Real Estate,Insurance,Real Estate,0.03431792760917735,0.03431792760917735,2,False,0.03431792760917735
Textiles,Transportation Equipment,Consumer Cyclical,Industrials,Textiles,Transportation Equipment,0.06365432427508425,0.06365432427508425,2,False,0.06365432427508425
Real Estate,Retail,Real Estate,Consumer Cyclical,Real Estate,Retail,0.042729276503962826,0.042729276503962826,4,False,0.042729276503962826
Aerospace and Defense,Textiles,Industrials,Consumer Cyclical,Aerospace and Defense,Textiles,0.0278075530940671,0.0278075530940671,1,False,0.0278075530940671
Financial Services,Transportation,Financials,Industrials,Financial Services,Transportation,0.040820063795452555,0.040820063795452555,4,False,0.040820063795452555
Insurance,Retail,Financials,Consumer Cyclical,Insurance,Retail,0.05968387966294565,0.05968387966294565,2,False,0.05968387966294565
Construction Materials,Personal and Home Care,Industrials,Consumer Non-Cyclical,Construction Materials,Personal and Home Care,0.05651790198513,0.05651790198513,1,False,0.05651790198513
