node_id,subsector,sector,n_assets,avg_financial_volume,total_financial_volume,internal_mean_correlation,internal_median_correlation,degree,weighted_degree,betweenness
Aerospace and Defense,Aerospace and Defense,Industrials,1,1.0,1.0,0.0,0.0,4,0.1354762009238132,0.0380952380952381
Apparel and Footwear,Apparel and Footwear,Consumer Cyclical,2,1.0,2.0,0.1676207562061225,0.1676207562061225,12,0.9412415848958507,0.01904761904761905
Banks,Banks,Financials,5,1.0,5.0,0.08413788088815051,0.06236337730111275,5,0.25400756967722693,0.07857142857142858
Chemicals,Chemicals,Basic Materials,3,1.0,3.0,0.04973897977928366,0.0447315850819949,6,0.21335179290049702,0.2833333333333334
Construction Materials,Construction Materials,Industrials,1,1.0,1.0,0.0,0.0,9,0.605465966180269,0.009523809523809525
Electric Utility,Electric Utility,Utilities,10,1.0,10.0,0.10331917547207135,0.1262307821936296,4,0.10795723688670185,0.330952380952381
Financial Services,Financial Services,Financials,2,1.0,2.0,0.1096267576479067,0.1096267576479067,4,0.2910930439764253,0.0
Gas Utility,Gas Utility,Utilities,1,1.0,1.0,0.0,0.0,5,0.25625135219441386,0.01904761904761905
Insurance,Insurance,Financials,1,1.0,1.0,0.0,0.0,7,0.38007227782574704,0.01904761904761905
Machinery and Equipment,Machinery and Equipment,Industrials,3,1.0,3.0,0.08530445097588762,0.0514949143097519,8,0.4972225275536812,0.05714285714285715
Mining,Mining,Basic Materials,3,1.0,3.0,0.23299526924887468,0.2216544210210716,4,0.30050175485013836,0.01904761904761905
Oil Gas and Biofuels,Oil Gas and Biofuels,Oil Gas and Biofuels,2,1.0,2.0,0.0714157287977677,0.0714157287977677,6,0.2601559538928058,0.12142857142857144
Paper and Cellulose,Paper and Cellulose,Basic Materials,1,1.0,1.0,0.0,0.0,4,0.20816752304227326,0.05714285714285715
Personal and Home Care,Personal and Home Care,Consumer Non-Cyclical,1,1.0,1.0,0.0,0.0,5,0.26404534763547366,0.004761904761904762
Real Estate,Real Estate,Real Estate,2,1.0,2.0,0.0092765373462312,0.0092765373462312,4,0.1560936978219456,0.04761904761904762
Retail,Retail,Consumer Cyclical,2,1.0,2.0,0.1202186036849879,0.1202186036849879,13,0.8550475693971851,0.06666666666666668
Steel and Metallurgy,Steel and Metallurgy,Basic Materials,9,1.0,9.0,0.11609023230181169,0.1542388931424567,4,0.25133788813506025,0.08571428571428572
Telecommunications,Telecommunications,Telecommunications,2,1.0,2.0,0.7954819015600003,0.7954819015600003,4,0.12043558273495489,0.07142857142857144
Textiles,Textiles,Consumer Cyclical,1,1.0,1.0,0.0,0.0,7,0.47471634742314106,0.04761904761904762
Transportation,Transportation,Industrials,2,1.0,2.0,0.0428449537917681,0.0428449537917681,8,0.36891915599216135,0.32142857142857145
Transportation Equipment,Transportation Equipment,Industrials,2,1.0,2.0,0.0583616518017856,0.0583616518017856,5,0.3595083850584411,0.0
Water and Sanitation,Water and Sanitation,Utilities,2,1.0,2.0,0.0691396497950908,0.0691396497950908,4,0.17375934596544984,0.014285714285714287
