,count,mean,min,25%,50%,75%,max,std,missing_pct
date,14859,2016-01-08 00:44:11.483949,2006-01-02 00:00:00,2011-01-10 00:00:00,2016-01-12 00:00:00,2021-01-13 00:00:00,2025-12-30 00:00:00,,0.0
log_return,14859.0,0.00037765769776196,-0.3523666109656791,-0.0122510044409822,0.0003736222722334,0.01296453329196055,0.2006706954621513,0.025152120019121073,0.0
target_rv_5d,14844.0,0.04734239169207934,0.0032238373702264695,0.02883098879252817,0.04035337977047749,0.05702654732160378,0.48545872190724215,0.030393948204228704,0.0010094891984655764
target_rv_20d,14799.0,0.10006247212677453,0.019834030652890647,0.06931869936705629,0.08704640277612238,0.11400971402740395,0.5849505853426789,0.051662971427130666,0.004037956793862305
price,14859.0,15.776563672109246,1.101602501342413,6.674699887633521,11.231200766967756,18.578957131055176,73.12,13.651200101730309,0.0
adj_close,14859.0,15.776563672109246,1.101602501342413,6.674699887633521,11.231200766967756,18.578957131055176,73.12,13.651200101730309,0.0
close,14859.0,36.7613816542163,4.2,22.62,31.8,46.015,119.99,20.239673864418265,0.0
volume,14859.0,24267579.790026248,124700.0,5594150.0,16342200.0,33597800.0,499194800.0,26643099.01645021,0.0
financial_volume,14859.0,730820299.4185343,12783740.0,182229520.5,452668559.0,989501655.5,11528773785.0,807966080.2286353,0.0
log_price,14859.0,2.458705397838313,0.0967659390746224,1.8983242195668018,2.4186956879646324,2.9220295997162884,4.292101927145895,0.7616338286587019,0.0
r_t,14859.0,0.00037765769776196,-0.3523666109656791,-0.0122510044409822,0.0003736222722334,0.01296453329196055,0.2006706954621513,0.025152120019121073,0.0
abs_r_t,14859.0,0.01749149479915788,0.0,0.0057647432278573,0.0125875787902671,0.02332263387403605,0.3523666109656791,0.018077577114255377,0.0
r2_t,14859.0,0.0006327291913072875,0.0,3.3232265561631926e-05,0.00015844713980118217,0.0005439452679803717,0.12416222852343825,0.0021786404129569958,0.0
rolling_mean_return_5d,14859.0,0.00037748673483477935,-0.13934244934488826,-0.005436677635115383,0.0006563895292171877,0.006518626201887116,0.08169816580494023,0.01092089022576263,0.0
rolling_mean_return_20d,14859.0,0.00037487864756478,-0.0478090058868536,-0.002697739912179923,0.0005726612474788054,0.003660013684047751,0.03154849678040267,0.005435925937677974,0.0
rolling_vol_5d,14859.0,0.021000171394523835,0.001096405482692124,0.0123722283149909,0.017787271162941508,0.025531374370270206,0.22620177967937033,0.01416716780564454,0.0
rolling_vol_20d,14859.0,0.022360537704807445,0.00390089952011628,0.015438642275535822,0.019455593776776033,0.02553209483972406,0.13183219982868735,0.011609744307577184,0.0
rolling_vol_60d,14859.0,0.023006943555425357,0.008261873912800345,0.016750924109202106,0.020101636751496135,0.025238485563264107,0.0820608384195494,0.010247260972993034,0.0
rolling_vol_120d,14859.0,0.02347877057090868,0.009896999658731122,0.017383394938221348,0.02061345165296062,0.025800671796075522,0.060289590360095235,0.009231431570458578,0.0
rolling_abs_return_5d,14859.0,0.017492655474729786,0.0011163585532825968,0.010544057748986289,0.014941665201966492,0.02103300204443638,0.19497576386166282,0.011350231840379562,0.0
rolling_abs_return_20d,14859.0,0.01749077195549534,0.0035296734606978354,0.012089940769370963,0.015262328859102106,0.01994118744227092,0.09930485947549066,0.00895567719916561,0.0
